A	B	A'	B'	A'B	AB	AB'	A'B'	HWP A	HWP B	E	Comments:	Duration (s)	Sub. Acc.?
72342.10	49577.20	0.00	0.00	0.00	803.90	0.00	0.00	-45.00	-22.50	1.00	CSCH N(-45,-22.5)	10.0	N
72308.20	49361.30	0.00	0.00	0.00	279.60	0.00	0.00	-45.00	22.50	1.00	CSCH N(-45,22.5)	10.0	N
72591.50	50345.60	0.00	0.00	0.00	371.40	0.00	0.00	-45.00	67.50	1.00	CSCH N(-45,67.5)	10.0	N
72305.00	49995.70	0.00	0.00	0.00	926.30	0.00	0.00	-45.00	112.50	1.00	CSCH N(-45,112.5)	10.0	N
70554.00	49509.40	0.00	0.00	0.00	944.60	0.00	0.00	0.00	-22.50	1.00	CSCH N(0,-22.5)	10.0	N
70615.30	49260.20	0.00	0.00	0.00	863.20	0.00	0.00	0.00	22.50	1.00	CSCH N(0,22.5)	10.0	N
70596.10	49982.30	0.00	0.00	0.00	202.00	0.00	0.00	0.00	67.50	1.00	CSCH N(0,67.5)	10.0	N
70411.70	50038.50	0.00	0.00	0.00	304.50	0.00	0.00	0.00	112.50	1.00	CSCH N(0,112.5)	10.0	N
71712.90	49501.50	0.00	0.00	0.00	367.30	0.00	0.00	45.00	-22.50	1.00	CSCH N(45,-22.5)	10.0	N
71600.20	49387.40	0.00	0.00	0.00	902.30	0.00	0.00	45.00	22.50	1.00	CSCH N(45,22.5)	10.0	N
71701.80	50091.00	0.00	0.00	0.00	817.20	0.00	0.00	45.00	67.50	1.00	CSCH N(45,67.5)	10.0	N
71877.20	50143.60	0.00	0.00	0.00	254.60	0.00	0.00	45.00	112.50	1.00	CSCH N(45,112.5)	10.0	N
73758.40	49500.50	0.00	0.00	0.00	188.30	0.00	0.00	90.00	-22.50	1.00	CSCH N(90,-22.5)	10.0	N
74350.50	49811.10	0.00	0.00	0.00	314.30	0.00	0.00	90.00	22.50	1.00	CSCH N(90,22.5)	10.0	N
73810.30	50034.70	0.00	0.00	0.00	1002.70	0.00	0.00	90.00	67.50	1.00	CSCH N(90,67.5)	10.0	N
73824.70	49887.10	0.00	0.00	0.00	900.10	0.00	0.00	90.00	112.50	1.00	CSCH N(90,112.5)	10.0	N
