Voltage - Ch0, - Ch0
0.3,381
0.309473,418
0.318945,453
0.328418,464
0.337891,454
0.347363,484
0.356836,466
0.366309,546
0.375781,585
0.385254,640
0.394727,643
0.404199,732
0.413672,727
0.423145,671
0.432617,669
0.44209,644
0.451562,672
0.461035,660
0.470508,604
0.47998,602
0.489453,591
0.498926,596
0.508398,542
0.517871,549
0.527344,569
0.536816,591
0.546289,563
0.555762,553
0.565234,515
0.574707,571
0.58418,553
0.593652,566
0.603125,533
0.612598,562
0.62207,548
0.631543,555
0.641016,556
0.650488,550
0.659961,559
0.669434,603
0.678906,537
0.688379,589
0.697852,585
0.707324,566
0.716797,584
0.72627,572
0.735742,565
0.745215,553
0.754687,527
0.76416,585
0.773633,561
0.783105,554
0.792578,505
0.802051,566
0.811523,552
0.820996,561
0.830469,548
0.839941,568
0.849414,567
0.858887,572
0.868359,531
0.877832,550
0.887305,560
0.896777,556
0.90625,567
0.915723,555
0.925195,610
0.934668,563
0.944141,560
0.953613,522
0.963086,525
0.972559,582
0.982031,558
0.991504,536
1.00098,575
1.01045,575
1.01992,592
1.02939,594
1.03887,595
1.04834,593
1.05781,609
1.06729,638
1.07676,658
1.08623,650
1.0957,629
1.10518,626
1.11465,665
1.12412,668
1.13359,601
1.14307,672
1.15254,601
1.16201,666
1.17148,575
1.18096,530
1.19043,540
1.1999,562
1.20937,542
1.21885,537
1.22832,516
1.23779,512
1.24727,512
1.25674,459
1.26621,457
1.27568,443
1.28516,457
1.29463,455
1.3041,422
1.31357,412
1.32305,439
1.33252,432
1.34199,363
1.35146,408
1.36094,374
1.37041,375
1.37988,383
1.38936,357
1.39883,395
1.4083,364
1.41777,398
1.42725,352
1.43672,375
1.44619,346
1.45566,351
1.46514,355
1.47461,354
1.48408,346
1.49355,367
1.50303,350
1.5125,325
1.52197,362
1.53145,328
1.54092,315
1.55039,341
1.55986,340
1.56934,328
1.57881,338
1.58828,304
1.59775,305
1.60723,318
1.6167,306
1.62617,299
1.63564,324
1.64512,315
1.65459,295
1.66406,336
1.67354,275
1.68301,316
1.69248,332
1.70195,261
1.71143,285
1.7209,292
1.73037,270
1.73984,286
1.74932,318
1.75879,292
1.76826,292
1.77773,309
1.78721,269
1.79668,282
1.80615,305
1.81563,292
1.8251,316
1.83457,289
1.84404,306
1.85352,260
1.86299,291
1.87246,284
1.88193,243
1.89141,237
1.90088,287
1.91035,252
1.91982,297
1.9293,263
1.93877,265
1.94824,277
1.95771,302
1.96719,265
1.97666,270
1.98613,275
1.99561,270
2.00508,254
2.01455,287
2.02402,268
2.0335,257
2.04297,265
2.05244,263
2.06191,246
2.07139,284
2.08086,266
2.09033,265
2.0998,268
2.10928,256
2.11875,248
2.12822,288
2.1377,266
2.14717,268
2.15664,264
2.16611,280
2.17559,285
2.18506,289
2.19453,244
2.204,263
2.21348,263
2.22295,287
2.23242,253
2.24189,265
2.25137,259
2.26084,280
2.27031,277
2.27979,267
2.28926,271
2.29873,279
2.3082,249
2.31768,256
2.32715,267
2.33662,277
2.34609,259
2.35557,267
2.36504,292
2.37451,241
2.38398,240
2.39346,263
2.40293,288
2.4124,285
2.42187,279
2.43135,280
2.44082,300
2.45029,291
2.45977,270
2.46924,291
2.47871,276
2.48818,297
2.49766,296
2.50713,281
2.5166,284
