Voltage - Ch0, - Ch0
0.3,365
0.309473,424
0.318945,449
0.328418,448
0.337891,449
0.347363,489
0.356836,498
0.366309,512
0.375781,570
0.385254,618
0.394727,724
0.404199,757
0.413672,725
0.423145,688
0.432617,658
0.44209,676
0.451562,598
0.461035,597
0.470508,640
0.47998,631
0.489453,634
0.498926,575
0.508398,553
0.517871,578
0.527344,578
0.536816,569
0.546289,552
0.555762,558
0.565234,565
0.574707,553
0.58418,508
0.593652,623
0.603125,549
0.612598,580
0.62207,563
0.631543,565
0.641016,560
0.650488,542
0.659961,615
0.669434,566
0.678906,530
0.688379,610
0.697852,499
0.707324,577
0.716797,542
0.72627,546
0.735742,575
0.745215,573
0.754687,525
0.76416,601
0.773633,560
0.783105,564
0.792578,586
0.802051,537
0.811523,578
0.820996,532
0.830469,604
0.839941,579
0.849414,548
0.858887,588
0.868359,591
0.877832,561
0.887305,564
0.896777,517
0.90625,579
0.915723,558
0.925195,536
0.934668,549
0.944141,535
0.953613,548
0.963086,589
0.972559,550
0.982031,552
0.991504,536
1.00098,600
1.01045,559
1.01992,547
1.02939,606
1.03887,624
1.04834,594
1.05781,595
1.06729,583
1.07676,637
1.08623,647
1.0957,639
1.10518,615
1.11465,630
1.12412,653
1.13359,655
1.14307,644
1.15254,634
1.16201,601
1.17148,547
1.18096,564
1.19043,556
1.1999,575
1.20937,515
1.21885,482
1.22832,533
1.23779,481
1.24727,494
1.25674,506
1.26621,488
1.27568,426
1.28516,475
1.29463,443
1.3041,434
1.31357,438
1.32305,451
1.33252,395
1.34199,403
1.35146,412
1.36094,380
1.37041,407
1.37988,411
1.38936,361
1.39883,382
1.4083,382
1.41777,359
1.42725,365
1.43672,360
1.44619,350
1.45566,339
1.46514,348
1.47461,370
1.48408,338
1.49355,314
1.50303,365
1.5125,329
1.52197,355
1.53145,337
1.54092,321
1.55039,307
1.55986,313
1.56934,314
1.57881,340
1.58828,320
1.59775,315
1.60723,305
1.6167,297
1.62617,321
1.63564,298
1.64512,313
1.65459,296
1.66406,288
1.67354,287
1.68301,314
1.69248,300
1.70195,305
1.71143,285
1.7209,297
1.73037,302
1.73984,270
1.74932,307
1.75879,313
1.76826,287
1.77773,308
1.78721,244
1.79668,300
1.80615,297
1.81563,277
1.8251,301
1.83457,289
1.84404,267
1.85352,277
1.86299,265
1.87246,267
1.88193,247
1.89141,295
1.90088,277
1.91035,270
1.91982,280
1.9293,284
1.93877,280
1.94824,290
1.95771,268
1.96719,288
1.97666,257
1.98613,294
1.99561,227
2.00508,263
2.01455,276
2.02402,242
2.0335,286
2.04297,300
2.05244,261
2.06191,267
2.07139,283
2.08086,253
2.09033,271
2.0998,301
2.10928,249
2.11875,272
2.12822,281
2.1377,272
2.14717,267
2.15664,268
2.16611,262
2.17559,272
2.18506,277
2.19453,260
2.204,267
2.21348,272
2.22295,272
2.23242,260
2.24189,256
2.25137,256
2.26084,270
2.27031,288
2.27979,292
2.28926,259
2.29873,262
2.3082,261
2.31768,280
2.32715,283
2.33662,245
2.34609,266
2.35557,237
2.36504,279
2.37451,270
2.38398,293
2.39346,274
2.40293,274
2.4124,250
2.42187,260
2.43135,277
2.44082,288
2.45029,300
2.45977,283
2.46924,256
2.47871,222
2.48818,273
2.49766,282
2.50713,262
2.5166,286
2.52607,292
2.53555,261
2.54502,292
2.55449,260
2.56396,279
2.57344,259
2.58291,258
2.59238,276
2.60186,296
2.61133,299
2.6208,244
2.63027,259
2.63975,296
2.64922,268
2.65869,293
2.66816,255
2.67764,284
2.68711,262
2.69658,282
2.70605,295
2.71553,284
2.725,264
2.73447,272
2.74395,262
2.75342,283
2.76289,286
2.77236,288
2.78184,279
2.79131,266
2.80078,304
2.81025,285
2.81973,294
2.8292,260
2.83867,280
2.84814,260
2.85762,269
2.86709,268
2.87656,326
2.88604,291
2.89551,306
2.90498,318
2.91445,278
2.92393,303
2.9334,302
2.94287,277
2.95234,309
2.96182,291
2.97129,267
2.98076,280
2.99023,276
2.99971,318
3.00918,300
3.01865,277
3.02812,286
3.0376,315
3.04707,296
3.05654,287
3.06602,244
3.07549,283
3.08496,276
3.09443,276
3.10391,320
3.11338,276
3.12285,293
3.13232,293
3.1418,282
3.15127,299
3.16074,313
3.17021,271
3.17969,261
3.18916,298
3.19863,303
3.20811,264
3.21758,310
3.22705,266
3.23652,265
3.246,243
3.25547,320
3.26494,318
3.27441,309
3.28389,294
3.29336,276
3.30283,272
3.3123,296
3.32178,297
3.33125,294
3.34072,326
3.3502,306
3.35967,301
3.36914,323
3.37861,318
3.38809,314
3.39756,282
3.40703,296
3.4165,314
3.42598,287
3.43545,288
3.44492,318
3.45439,295
3.46387,337
3.47334,281
3.48281,364
3.49229,285
3.50176,330
3.51123,320
3.5207,288
3.53018,281
3.53965,308
3.54912,296
3.55859,317
3.56807,328
3.57754,312
3.58701,310
3.59648,328
3.60596,295
3.61543,322
3.6249,314
3.63437,278
3.64385,304
3.65332,291
3.66279,335
3.67227,330
3.68174,320
3.69121,293
3.70068,341
3.71016,315
3.71963,305
3.7291,317
3.73857,328
3.74805,338
3.75752,330
3.76699,310
3.77646,365
3.78594,332
3.79541,352
3.80488,305
3.81436,347
3.82383,323
3.8333,347
3.84277,289
3.85225,356
3.86172,350
3.87119,349
3.88066,351
3.89014,366
3.89961,353
3.90908,335
3.91855,327
3.92803,328
3.9375,333
3.94697,372
3.95645,335
3.96592,345
3.97539,351
3.98486,356
3.99434,357
4.00381,361
4.01328,335
4.02275,334
4.03223,351
4.0417,343
4.05117,317
4.06064,344
4.07012,365
4.07959,318
4.08906,350
4.09854,354
4.10801,349
4.11748,349
4.12695,334
4.13643,379
4.1459,345
4.15537,334
4.16484,347
4.17432,388
4.18379,373
4.19326,323
4.20273,358
4.21221,376
4.22168,340
4.23115,376
4.24062,374
4.2501,370
4.25957,345
4.26904,349
4.27852,323
4.28799,360
4.29746,361
4.30693,329
4.31641,351
4.32588,350
4.33535,339
4.34482,361
4.3543,356
4.36377,325
4.37324,343
4.38271,322
4.39219,313
4.40166,347
4.41113,301
4.42061,322
4.43008,297
4.43955,291
4.44902,323
4.4585,299
4.46797,322
4.47744,310
4.48691,324
4.49639,325
4.50586,293
4.51533,281
4.5248,292
4.53428,332
4.54375,298
4.55322,295
4.5627,299
4.57217,288
4.58164,272
4.59111,293
4.60059,285
4.61006,296
4.61953,294
4.629,294
4.63848,263
4.64795,284
4.65742,277
4.66689,307
4.67637,263
4.68584,250
4.69531,307
4.70479,283
4.71426,292
4.72373,284
4.7332,287
4.74268,278
4.75215,295
4.76162,277
4.77109,295
4.78057,274
4.79004,281
4.79951,288
4.80898,275
4.81846,285
4.82793,293
4.8374,283
4.84687,255
4.85635,285
4.86582,277
4.87529,294
4.88477,241
4.89424,251
4.90371,240
4.91318,246
4.92266,241
4.93213,240
4.9416,281
4.95107,261
4.96055,221
4.97002,243
4.97949,270
4.98896,260
4.99844,267
5.00791,280
5.01738,270
5.02686,282
5.03633,320
5.0458,321
5.05527,349
5.06475,340
5.07422,370
5.08369,435
5.09316,470
5.10264,517
5.11211,581
5.12158,560
5.13105,669
5.14053,675
5.15,741
5.15947,814
5.16895,897
5.17842,907
5.18789,943
5.19736,1017
5.20684,963
5.21631,1041
5.22578,1021
5.23525,1078
5.24473,1073
5.2542,1060
5.26367,955
5.27314,976
5.28262,1002
5.29209,927
5.30156,881
5.31104,795
5.32051,854
5.32998,729
5.33945,670
5.34893,657
5.3584,587
5.36787,539
5.37734,488
5.38682,400
5.39629,331
5.40576,292
5.41523,241
5.42471,220
5.43418,225
5.44365,227
5.45312,260
5.4626,275
5.47207,359
5.48154,467
5.49102,587
5.50049,674
5.50996,865
5.51943,1020
5.52891,1263
5.53838,1429
5.54785,1598
5.55732,1732
5.5668,1860
5.57627,1896
5.58574,1887
5.59521,1731
5.60469,1584
5.61416,1410
5.62363,1233
5.63311,975
5.64258,753
5.65205,573
5.66152,401
5.671,256
5.68047,172
5.68994,126
5.69941,78
5.70889,74
5.71836,59
5.72783,64
5.7373,63
5.74678,46
5.75625,51
5.76572,53
5.7752,44
5.78467,57
5.79414,43
5.80361,26
5.81309,21
5.82256,22
5.83203,17
5.8415,7
5.85098,17
5.86045,14
5.86992,18
5.87939,24
5.88887,31
5.89834,33
5.90781,36
5.91729,28
5.92676,21
5.93623,11
5.9457,13
5.95518,17
5.96465,13
5.97412,9
5.98359,11
5.99307,16
6.00254,11
6.01201,30
6.02148,28
6.03096,26
6.04043,27
6.0499,28
6.05937,16
6.06885,12
6.07832,15
6.08779,2
6.09727,5
6.10674,3
6.11621,3
6.12568,2
6.13516,2
6.14463,4
6.1541,2
6.16357,4
6.17305,3
6.18252,2
6.19199,0
6.20146,1
6.21094,3
6.22041,1
6.22988,2
6.23936,1
6.24883,0
6.2583,3
6.26777,1
6.27725,5
6.28672,4
6.29619,4
6.30566,2
6.31514,6
6.32461,1
6.33408,1
6.34355,0
6.35303,1
6.3625,2
6.37197,2
6.38145,1
6.39092,3
6.40039,1
6.40986,3
6.41934,1
6.42881,1
6.43828,0
6.44775,4
6.45723,1
6.4667,1
6.47617,1
6.48564,0
6.49512,0
6.50459,1
6.51406,0
6.52354,0
6.53301,1
6.54248,0
6.55195,0
6.56143,0
6.5709,0
6.58037,0
6.58984,0
6.59932,0
6.60879,0
6.61826,0
6.62773,0
6.63721,0
6.64668,0
6.65615,0
6.66562,0
6.6751,0
6.68457,0
6.69404,0
6.70352,0
6.71299,0
6.72246,0
6.73193,0
6.74141,0
6.75088,0
6.76035,0
6.76982,0
6.7793,0
6.78877,0
6.79824,0
6.80771,0
6.81719,0
6.82666,0
6.83613,0
6.84561,0
6.85508,0
6.86455,0
6.87402,0
6.8835,0
6.89297,0
6.90244,0
6.91191,0
6.92139,0
6.93086,0
6.94033,0
6.9498,0
6.95928,0
6.96875,0
6.97822,0
6.9877,0
6.99717,0
7.00664,0
7.01611,0
7.02559,0
7.03506,0
7.04453,0
7.054,0
7.06348,0
7.07295,0
7.08242,0
7.09189,0
7.10137,0
7.11084,0
7.12031,0
7.12979,0
7.13926,0
7.14873,0
7.1582,0
7.16768,0
7.17715,0
7.18662,0
7.19609,0
7.20557,0
7.21504,0
7.22451,0
7.23398,0
7.24346,0
7.25293,0
7.2624,0
7.27187,0
7.28135,0
7.29082,0
7.30029,0
7.30977,0
7.31924,0
7.32871,0
7.33818,0
7.34766,0
7.35713,0
7.3666,0
7.37607,0
7.38555,0
7.39502,0
7.40449,0
7.41396,0
7.42344,0
7.43291,0
7.44238,0
7.45186,0
7.46133,0
7.4708,0
7.48027,0
7.48975,0
7.49922,0
7.50869,0
7.51816,0
7.52764,0
7.53711,0
7.54658,0
7.55605,0
7.56553,0
7.575,0
7.58447,0
7.59395,0
7.60342,0
7.61289,0
7.62236,0
7.63184,0
7.64131,0
7.65078,0
7.66025,0
7.66973,0
7.6792,0
7.68867,0
7.69814,0
7.70762,0
7.71709,0
7.72656,0
7.73604,0
7.74551,0
7.75498,0
7.76445,0
7.77393,0
7.7834,0
7.79287,0
7.80234,0
7.81182,0
7.82129,0
7.83076,0
7.84023,0
7.84971,0
7.85918,0
7.86865,0
7.87812,0
7.8876,0
7.89707,0
7.90654,0
7.91602,0
7.92549,0
7.93496,0
7.94443,0
7.95391,0
7.96338,0
7.97285,0
7.98232,0
7.9918,0
8.00127,0
8.01074,0
8.02021,0
8.02969,0
8.03916,0
8.04863,0
8.05811,0
8.06758,0
8.07705,0
8.08652,0
8.096,0
8.10547,0
8.11494,0
8.12441,0
8.13389,0
8.14336,0
8.15283,0
8.1623,0
8.17178,0
8.18125,0
8.19072,0
8.2002,0
8.20967,0
8.21914,0
8.22861,0
8.23809,0
8.24756,0
8.25703,0
8.2665,0
8.27598,0
8.28545,0
8.29492,0
8.30439,0
8.31387,0
8.32334,0
8.33281,0
8.34229,0
8.35176,0
8.36123,0
8.3707,0
8.38018,0
8.38965,0
8.39912,0
8.40859,0
8.41807,0
