Voltage - Ch0, - Ch0
0.3,230
0.309473,243
0.318945,259
0.328418,267
0.337891,308
0.347363,288
0.356836,287
0.366309,342
0.375781,338
0.385254,385
0.394727,390
0.404199,429
0.413672,445
0.423145,415
0.432617,431
0.44209,378
0.451562,373
0.461035,344
0.470508,379
0.47998,373
0.489453,365
0.498926,343
0.508398,353
0.517871,350
0.527344,327
0.536816,345
0.546289,349
0.555762,347
0.565234,351
0.574707,344
0.58418,310
0.593652,331
0.603125,337
0.612598,354
0.62207,326
0.631543,326
0.641016,341
0.650488,322
0.659961,327
0.669434,377
0.678906,299
0.688379,313
0.697852,320
0.707324,309
0.716797,313
0.72627,335
0.735742,321
0.745215,318
0.754687,305
0.76416,266
0.773633,315
0.783105,293
0.792578,313
0.802051,279
0.811523,291
0.820996,282
0.830469,267
0.839941,283
0.849414,301
0.858887,320
0.868359,304
0.877832,286
0.887305,291
0.896777,283
0.90625,317
0.915723,354
0.925195,330
0.934668,304
0.944141,344
0.953613,336
0.963086,379
0.972559,357
0.982031,350
0.991504,355
1.00098,368
1.01045,329
1.01992,317
1.02939,330
1.03887,310
1.04834,281
1.05781,317
1.06729,275
1.07676,275
1.08623,253
1.0957,303
1.10518,265
1.11465,257
1.12412,261
1.13359,249
1.14307,261
1.15254,250
1.16201,241
1.17148,251
1.18096,262
1.19043,216
1.1999,231
1.20937,233
1.21885,229
1.22832,237
1.23779,206
1.24727,190
1.25674,219
1.26621,207
1.27568,198
1.28516,195
1.29463,212
1.3041,197
1.31357,169
1.32305,182
1.33252,179
1.34199,177
1.35146,192
1.36094,201
1.37041,186
1.37988,187
1.38936,182
1.39883,166
1.4083,171
1.41777,158
1.42725,167
1.43672,168
1.44619,189
1.45566,174
1.46514,186
1.47461,176
1.48408,180
1.49355,167
1.50303,165
1.5125,173
1.52197,178
1.53145,147
1.54092,158
1.55039,157
1.55986,171
1.56934,149
1.57881,155
1.58828,154
1.59775,172
1.60723,158
1.6167,155
1.62617,146
1.63564,180
1.64512,178
1.65459,165
1.66406,162
1.67354,151
1.68301,144
1.69248,152
1.70195,163
1.71143,143
1.7209,153
1.73037,153
1.73984,168
1.74932,140
1.75879,161
1.76826,152
1.77773,139
1.78721,153
1.79668,139
1.80615,164
1.81563,136
1.8251,149
1.83457,123
1.84404,149
1.85352,144
1.86299,136
1.87246,139
1.88193,127
1.89141,152
1.90088,134
1.91035,151
1.91982,156
1.9293,139
1.93877,135
1.94824,137
1.95771,152
1.96719,125
1.97666,152
1.98613,150
1.99561,142
2.00508,138
2.01455,139
2.02402,131
2.0335,134
2.04297,150
2.05244,143
2.06191,134
2.07139,120
2.08086,156
2.09033,157
2.0998,146
2.10928,149
2.11875,129
2.12822,148
2.1377,131
2.14717,151
2.15664,148
2.16611,130
2.17559,138
2.18506,147
2.19453,160
2.204,165
2.21348,160
2.22295,123
2.23242,132
2.24189,114
2.25137,138
2.26084,127
2.27031,124
2.27979,118
2.28926,121
2.29873,100
2.3082,110
2.31768,104
2.32715,95
2.33662,90
2.34609,85
2.35557,115
2.36504,82
2.37451,109
2.38398,93
2.39346,95
2.40293,86
2.4124,87
2.42187,87
2.43135,97
2.44082,101
2.45029,96
2.45977,110
2.46924,98
2.47871,92
2.48818,85
2.49766,86
2.50713,100
2.5166,98
2.52607,112
2.53555,86
2.54502,101
2.55449,98
2.56396,107
2.57344,91
2.58291,89
2.59238,109
2.60186,88
2.61133,89
2.6208,106
2.63027,74
2.63975,93
2.64922,97
2.65869,104
2.66816,107
2.67764,77
2.68711,99
2.69658,118
2.70605,82
2.71553,95
2.725,102
2.73447,104
2.74395,104
2.75342,95
2.76289,104
2.77236,111
2.78184,99
2.79131,93
2.80078,92
2.81025,80
2.81973,108
2.8292,125
2.83867,101
2.84814,89
2.85762,119
2.86709,111
2.87656,95
2.88604,101
2.89551,116
2.90498,121
2.91445,104
2.92393,114
2.9334,113
2.94287,127
2.95234,128
2.96182,153
2.97129,151
2.98076,162
2.99023,184
2.99971,214
3.00918,250
3.01865,303
3.02812,320
3.0376,375
3.04707,388
3.05654,499
3.06602,528
3.07549,560
3.08496,643
3.09443,740
3.10391,812
3.11338,868
3.12285,925
3.13232,1064
3.1418,1156
3.15127,1226
3.16074,1247
3.17021,1340
3.17969,1352
3.18916,1368
3.19863,1447
3.20811,1440
3.21758,1454
3.22705,1376
3.23652,1279
3.246,1270
3.25547,1237
3.26494,1111
3.27441,1064
3.28389,973
3.29336,862
3.30283,786
3.3123,633
3.32178,543
3.33125,499
3.34072,444
3.3502,323
3.35967,297
3.36914,236
3.37861,158
3.38809,160
3.39756,140
3.40703,96
3.4165,63
3.42598,60
3.43545,42
3.44492,34
3.45439,25
3.46387,29
3.47334,19
3.48281,16
3.49229,13
3.50176,14
3.51123,10
3.5207,9
3.53018,13
3.53965,12
3.54912,14
3.55859,12
3.56807,8
3.57754,10
3.58701,2
3.59648,8
3.60596,15
3.61543,5
3.6249,17
3.63437,7
3.64385,10
3.65332,5
3.66279,16
3.67227,12
3.68174,9
3.69121,10
3.70068,7
3.71016,10
3.71963,10
3.7291,10
3.73857,10
3.74805,10
3.75752,9
3.76699,4
3.77646,13
3.78594,11
3.79541,12
3.80488,10
3.81436,12
3.82383,11
3.8333,4
3.84277,8
3.85225,9
3.86172,17
3.87119,10
3.88066,6
3.89014,14
3.89961,5
3.90908,7
3.91855,7
3.92803,15
3.9375,9
3.94697,7
3.95645,11
3.96592,12
3.97539,9
3.98486,11
3.99434,8
4.00381,13
4.01328,13
4.02275,10
4.03223,9
4.0417,13
4.05117,8
4.06064,9
4.07012,7
4.07959,3
4.08906,10
4.09854,12
4.10801,10
4.11748,14
4.12695,9
4.13643,8
4.1459,10
4.15537,8
4.16484,8
4.17432,7
4.18379,4
4.19326,10
4.20273,9
4.21221,6
4.22168,12
4.23115,7
4.24062,10
4.2501,19
4.25957,6
4.26904,6
4.27852,11
4.28799,9
4.29746,15
4.30693,12
4.31641,11
4.32588,9
4.33535,11
4.34482,10
4.3543,7
4.36377,8
4.37324,13
4.38271,9
4.39219,7
4.40166,9
4.41113,9
4.42061,12
4.43008,6
4.43955,6
4.44902,11
4.4585,7
4.46797,9
4.47744,8
4.48691,11
4.49639,15
4.50586,10
4.51533,9
4.5248,11
4.53428,5
4.54375,9
4.55322,10
4.5627,8
4.57217,5
4.58164,9
4.59111,5
4.60059,12
4.61006,3
4.61953,7
4.629,6
4.63848,9
4.64795,12
4.65742,8
4.66689,5
4.67637,9
4.68584,8
4.69531,4
4.70479,10
4.71426,3
4.72373,13
4.7332,11
4.74268,7
4.75215,7
4.76162,5
4.77109,9
4.78057,7
4.79004,6
4.79951,8
4.80898,6
4.81846,3
4.82793,7
4.8374,7
4.84687,6
4.85635,5
4.86582,6
4.87529,10
4.88477,9
4.89424,6
4.90371,9
4.91318,7
4.92266,16
4.93213,11
4.9416,7
4.95107,12
4.96055,9
4.97002,11
4.97949,10
4.98896,10
4.99844,12
5.00791,14
5.01738,9
5.02686,4
5.03633,7
5.0458,15
5.05527,5
5.06475,7
5.07422,11
5.08369,14
5.09316,10
5.10264,7
5.11211,12
5.12158,6
5.13105,10
5.14053,11
5.15,10
5.15947,12
5.16895,10
5.17842,12
5.18789,11
5.19736,6
5.20684,9
5.21631,6
5.22578,5
5.23525,9
5.24473,11
5.2542,4
5.26367,5
5.27314,11
5.28262,12
5.29209,5
5.30156,6
5.31104,5
5.32051,5
5.32998,10
5.33945,6
5.34893,5
5.3584,8
5.36787,9
5.37734,9
5.38682,8
5.39629,10
5.40576,10
5.41523,6
5.42471,9
5.43418,8
5.44365,12
5.45312,8
5.4626,10
5.47207,10
5.48154,9
5.49102,7
5.50049,10
5.50996,10
5.51943,8
5.52891,10
5.53838,16
5.54785,17
5.55732,15
5.5668,16
5.57627,6
5.58574,13
5.59521,6
5.60469,11
5.61416,12
5.62363,15
5.63311,10
5.64258,15
5.65205,21
5.66152,24
5.671,29
5.68047,22
5.68994,32
5.69941,45
5.70889,52
5.71836,61
5.72783,45
5.7373,58
5.74678,48
5.75625,43
5.76572,53
5.7752,37
5.78467,24
5.79414,30
5.80361,13
5.81309,17
5.82256,13
5.83203,9
5.8415,12
5.85098,23
5.86045,22
5.86992,24
5.87939,21
5.88887,29
5.89834,23
5.90781,15
5.91729,8
5.92676,6
5.93623,11
5.9457,6
5.95518,16
5.96465,13
5.97412,14
5.98359,6
5.99307,3
6.00254,12
6.01201,17
6.02148,9
6.03096,16
6.04043,17
6.0499,18
6.05937,20
6.06885,19
6.07832,23
6.08779,16
6.09727,11
6.10674,9
6.11621,1
6.12568,1
6.13516,0
6.14463,0
6.1541,0
6.16357,0
6.17305,1
6.18252,0
6.19199,0
6.20146,0
6.21094,0
6.22041,0
6.22988,1
6.23936,0
6.24883,0
6.2583,0
6.26777,0
6.27725,0
6.28672,0
6.29619,0
6.30566,0
6.31514,0
6.32461,0
6.33408,0
6.34355,0
6.35303,0
6.3625,0
6.37197,0
6.38145,0
6.39092,0
6.40039,0
6.40986,0
6.41934,0
6.42881,0
6.43828,0
6.44775,0
6.45723,0
6.4667,0
6.47617,0
6.48564,0
6.49512,0
6.50459,0
6.51406,0
6.52354,0
6.53301,0
6.54248,0
6.55195,0
6.56143,0
6.5709,0
6.58037,0
6.58984,0
6.59932,0
6.60879,0
6.61826,0
6.62773,0
6.63721,0
6.64668,0
6.65615,0
6.66562,0
6.6751,0
6.68457,0
6.69404,0
6.70352,0
6.71299,0
6.72246,0
6.73193,0
6.74141,0
6.75088,0
6.76035,0
6.76982,0
6.7793,0
6.78877,0
6.79824,0
6.80771,0
6.81719,0
6.82666,0
6.83613,0
6.84561,0
6.85508,0
6.86455,0
6.87402,0
6.8835,0
6.89297,0
6.90244,0
6.91191,0
6.92139,0
6.93086,0
6.94033,0
6.9498,0
6.95928,0
6.96875,0
6.97822,0
6.9877,0
6.99717,0
7.00664,0
7.01611,0
7.02559,0
7.03506,0
7.04453,0
7.054,0
7.06348,0
7.07295,0
7.08242,0
7.09189,0
7.10137,0
7.11084,0
7.12031,0
7.12979,0
7.13926,0
7.14873,0
7.1582,0
7.16768,0
7.17715,0
7.18662,0
7.19609,0
7.20557,0
7.21504,0
7.22451,0
7.23398,0
7.24346,0
7.25293,0
7.2624,0
7.27187,0
7.28135,0
7.29082,0
7.30029,0
