Voltage - Ch0, - Ch0
0.3,219
0.309473,258
0.318945,255
0.328418,272
0.337891,271
0.347363,306
0.356836,305
0.366309,321
0.375781,367
0.385254,402
0.394727,433
0.404199,476
0.413672,405
0.423145,411
0.432617,334
0.44209,382
0.451562,372
0.461035,369
0.470508,383
0.47998,343
0.489453,368
0.498926,365
0.508398,319
0.517871,347
0.527344,306
0.536816,321
0.546289,363
0.555762,325
0.565234,364
0.574707,302
0.58418,335
0.593652,329
0.603125,331
0.612598,337
0.62207,332
0.631543,348
0.641016,325
0.650488,341
0.659961,328
0.669434,338
0.678906,322
0.688379,313
0.697852,306
0.707324,299
0.716797,272
0.72627,311
0.735742,299
0.745215,313
0.754687,308
0.76416,309
0.773633,293
0.783105,325
0.792578,305
0.802051,309
0.811523,307
0.820996,283
0.830469,304
0.839941,319
0.849414,268
0.858887,297
0.868359,272
0.877832,296
0.887305,291
0.896777,270
0.90625,345
0.915723,334
0.925195,337
0.934668,350
0.944141,346
0.953613,338
0.963086,345
0.972559,328
0.982031,365
0.991504,319
1.00098,313
1.01045,365
1.01992,344
1.02939,348
1.03887,272
1.04834,284
1.05781,290
1.06729,275
1.07676,274
1.08623,254
1.0957,263
1.10518,248
1.11465,282
1.12412,257
1.13359,258
1.14307,251
1.15254,277
1.16201,251
1.17148,245
1.18096,257
1.19043,240
1.1999,243
1.20937,220
1.21885,245
1.22832,205
1.23779,218
1.24727,210
1.25674,197
1.26621,224
1.27568,193
1.28516,199
1.29463,221
1.3041,201
1.31357,197
1.32305,201
1.33252,212
1.34199,185
1.35146,198
1.36094,210
1.37041,208
1.37988,190
1.38936,178
1.39883,184
1.4083,171
1.41777,180
1.42725,185
1.43672,196
1.44619,194
1.45566,160
1.46514,187
1.47461,164
1.48408,190
1.49355,164
1.50303,172
1.5125,171
1.52197,164
1.53145,174
1.54092,146
1.55039,147
1.55986,165
1.56934,176
1.57881,155
1.58828,155
1.59775,167
1.60723,157
1.6167,157
1.62617,156
1.63564,153
1.64512,166
1.65459,139
1.66406,159
1.67354,163
1.68301,147
1.69248,140
1.70195,143
1.71143,158
1.7209,159
1.73037,146
1.73984,155
1.74932,141
1.75879,151
1.76826,174
1.77773,154
1.78721,175
1.79668,158
1.80615,169
1.81563,150
1.8251,156
1.83457,153
1.84404,148
1.85352,126
1.86299,145
1.87246,144
1.88193,151
1.89141,131
1.90088,145
1.91035,127
1.91982,131
1.9293,143
1.93877,169
1.94824,160
1.95771,165
1.96719,142
1.97666,138
1.98613,130
1.99561,171
2.00508,141
2.01455,137
2.02402,143
2.0335,136
2.04297,131
2.05244,152
2.06191,142
2.07139,135
2.08086,144
2.09033,179
2.0998,132
2.10928,143
2.11875,152
2.12822,129
2.1377,150
2.14717,150
2.15664,124
2.16611,157
2.17559,131
2.18506,156
2.19453,141
2.204,151
2.21348,119
2.22295,132
2.23242,129
2.24189,133
2.25137,120
2.26084,105
2.27031,133
2.27979,120
2.28926,135
2.29873,115
2.3082,122
2.31768,123
2.32715,101
2.33662,108
2.34609,95
2.35557,88
2.36504,99
2.37451,92
2.38398,85
2.39346,96
2.40293,69
2.4124,70
2.42187,92
2.43135,110
2.44082,104
2.45029,106
2.45977,90
2.46924,86
2.47871,86
2.48818,95
2.49766,103
2.50713,96
2.5166,99
2.52607,71
2.53555,101
2.54502,108
2.55449,86
2.56396,92
2.57344,95
2.58291,87
2.59238,82
2.60186,111
2.61133,104
2.6208,90
2.63027,117
2.63975,103
2.64922,87
2.65869,100
2.66816,85
2.67764,104
2.68711,90
2.69658,104
2.70605,97
2.71553,84
2.725,101
2.73447,115
2.74395,123
2.75342,104
2.76289,111
2.77236,107
2.78184,105
2.79131,109
2.80078,105
2.81025,104
2.81973,95
2.8292,91
2.83867,103
2.84814,124
2.85762,114
2.86709,97
2.87656,124
2.88604,105
2.89551,97
2.90498,91
2.91445,113
2.92393,116
2.9334,124
2.94287,126
2.95234,136
2.96182,156
2.97129,147
2.98076,178
2.99023,179
2.99971,231
3.00918,257
3.01865,282
3.02812,295
3.0376,350
3.04707,408
3.05654,435
3.06602,539
3.07549,561
3.08496,678
3.09443,723
3.10391,868
3.11338,884
3.12285,973
3.13232,1059
3.1418,1138
3.15127,1219
3.16074,1265
3.17021,1400
3.17969,1412
3.18916,1380
3.19863,1379
3.20811,1474
3.21758,1402
3.22705,1384
3.23652,1306
3.246,1244
3.25547,1208
3.26494,1138
3.27441,1089
3.28389,928
3.29336,839
3.30283,746
3.3123,656
3.32178,593
3.33125,483
3.34072,427
3.3502,366
3.35967,311
3.36914,242
3.37861,175
3.38809,155
3.39756,139
3.40703,87
3.4165,90
3.42598,56
3.43545,42
3.44492,41
3.45439,33
3.46387,28
3.47334,17
3.48281,17
3.49229,11
3.50176,17
3.51123,13
3.5207,17
3.53018,12
3.53965,8
3.54912,13
3.55859,8
3.56807,11
3.57754,14
3.58701,4
3.59648,9
3.60596,5
3.61543,14
3.6249,11
3.63437,15
3.64385,12
3.65332,8
3.66279,6
3.67227,4
3.68174,8
3.69121,8
3.70068,14
3.71016,14
3.71963,16
3.7291,11
3.73857,11
3.74805,9
3.75752,10
3.76699,8
3.77646,8
3.78594,10
3.79541,14
3.80488,6
3.81436,9
3.82383,9
3.8333,11
3.84277,11
3.85225,12
3.86172,9
3.87119,4
3.88066,12
3.89014,6
3.89961,14
3.90908,15
3.91855,9
3.92803,2
3.9375,5
3.94697,13
3.95645,9
3.96592,4
3.97539,6
3.98486,8
3.99434,14
4.00381,9
4.01328,11
4.02275,8
4.03223,10
4.0417,3
4.05117,4
4.06064,4
4.07012,9
4.07959,10
4.08906,11
4.09854,3
