Voltage - Ch0, - Ch0
0.3,220
0.309473,274
0.318945,256
0.328418,278
0.337891,285
0.347363,292
0.356836,312
0.366309,326
0.375781,361
0.385254,377
0.394727,428
0.404199,434
0.413672,438
0.423145,410
0.432617,390
0.44209,386
0.451562,368
0.461035,373
0.470508,371
0.47998,356
0.489453,342
0.498926,359
0.508398,322
0.517871,312
0.527344,327
0.536816,317
0.546289,339
0.555762,346
0.565234,347
0.574707,326
0.58418,304
0.593652,317
0.603125,323
0.612598,323
0.62207,313
0.631543,330
0.641016,325
0.650488,313
0.659961,310
0.669434,295
0.678906,339
0.688379,323
0.697852,294
0.707324,305
0.716797,314
0.72627,312
0.735742,269
0.745215,287
0.754687,292
0.76416,322
0.773633,310
0.783105,281
0.792578,294
0.802051,284
0.811523,276
0.820996,281
0.830469,301
0.839941,281
0.849414,288
0.858887,303
0.868359,274
0.877832,327
0.887305,294
0.896777,289
0.90625,306
0.915723,339
0.925195,329
0.934668,351
0.944141,310
0.953613,379
0.963086,358
0.972559,367
0.982031,374
0.991504,314
1.00098,358
1.01045,350
1.01992,362
1.02939,303
1.03887,321
1.04834,318
1.05781,274
1.06729,298
1.07676,280
1.08623,284
1.0957,297
1.10518,272
1.11465,295
1.12412,216
1.13359,249
1.14307,252
1.15254,248
1.16201,276
1.17148,248
1.18096,237
1.19043,233
1.1999,231
1.20937,232
1.21885,209
1.22832,224
1.23779,199
1.24727,221
1.25674,235
1.26621,222
1.27568,189
1.28516,201
1.29463,224
1.3041,194
1.31357,220
1.32305,185
1.33252,170
1.34199,204
1.35146,190
1.36094,207
1.37041,184
1.37988,186
1.38936,153
1.39883,166
1.4083,182
1.41777,194
1.42725,192
1.43672,172
1.44619,180
1.45566,164
1.46514,198
1.47461,192
1.48408,188
1.49355,147
1.50303,169
1.5125,155
1.52197,187
1.53145,191
1.54092,168
1.55039,180
1.55986,157
1.56934,154
1.57881,168
1.58828,159
1.59775,175
1.60723,152
1.6167,170
1.62617,162
1.63564,169
1.64512,136
1.65459,138
1.66406,161
1.67354,146
1.68301,167
1.69248,131
