Voltage - Ch0, - Ch0
0.3,137
0.309473,147
0.318945,166
0.328418,143
0.337891,171
0.347363,194
0.356836,188
0.366309,220
0.375781,232
0.385254,216
0.394727,261
0.404199,269
0.413672,259
0.423145,230
0.432617,213
0.44209,239
0.451562,253
0.461035,244
0.470508,260
0.47998,225
0.489453,242
0.498926,261
0.508398,249
0.517871,241
0.527344,212
0.536816,225
0.546289,230
0.555762,227
0.565234,202
0.574707,204
0.58418,208
0.593652,234
0.603125,232
0.612598,201
0.62207,204
0.631543,197
0.641016,223
0.650488,215
0.659961,193
0.669434,162
0.678906,180
0.688379,184
0.697852,166
0.707324,190
0.716797,189
0.72627,166
0.735742,184
0.745215,170
0.754687,165
0.76416,183
0.773633,157
0.783105,165
0.792578,154
0.802051,122
0.811523,150
0.820996,135
0.830469,147
0.839941,163
0.849414,126
0.858887,138
0.868359,145
0.877832,135
0.887305,122
0.896777,154
0.90625,130
0.915723,119
0.925195,135
0.934668,132
0.944141,133
0.953613,127
0.963086,133
0.972559,110
0.982031,104
0.991504,93
1.00098,110
1.01045,111
1.01992,76
1.02939,96
1.03887,103
1.04834,92
1.05781,109
1.06729,107
1.07676,85
1.08623,85
1.0957,96
1.10518,96
1.11465,107
1.12412,90
1.13359,91
1.14307,87
1.15254,87
1.16201,97
1.17148,99
1.18096,99
1.19043,73
1.1999,76
1.20937,92
1.21885,71
1.22832,102
1.23779,85
1.24727,61
1.25674,76
1.26621,85
1.27568,73
1.28516,75
1.29463,71
1.3041,69
1.31357,62
1.32305,72
1.33252,57
1.34199,67
1.35146,62
1.36094,75
1.37041,58
1.37988,54
1.38936,63
1.39883,55
1.4083,61
1.41777,52
1.42725,59
1.43672,61
1.44619,47
1.45566,54
1.46514,62
1.47461,66
1.48408,53
1.49355,53
1.50303,58
1.5125,61
1.52197,45
1.53145,49
1.54092,48
1.55039,52
1.55986,50
1.56934,44
1.57881,42
1.58828,45
1.59775,39
1.60723,46
1.6167,53
1.62617,48
1.63564,39
1.64512,39
1.65459,35
1.66406,39
1.67354,41
1.68301,27
1.69248,37
1.70195,41
1.71143,41
1.7209,38
1.73037,45
1.73984,35
1.74932,43
1.75879,44
1.76826,26
1.77773,31
1.78721,23
1.79668,35
1.80615,37
1.81563,28
1.8251,22
1.83457,33
1.84404,36
1.85352,38
1.86299,27
1.87246,31
1.88193,34
1.89141,26
1.90088,34
1.91035,21
1.91982,29
1.9293,35
1.93877,26
1.94824,29
1.95771,27
1.96719,24
1.97666,30
1.98613,18
1.99561,21
2.00508,27
2.01455,23
2.02402,30
2.0335,24
2.04297,20
2.05244,25
2.06191,33
2.07139,28
2.08086,27
2.09033,25
2.0998,16
2.10928,27
2.11875,20
2.12822,23
2.1377,26
2.14717,18
2.15664,20
2.16611,26
2.17559,18
2.18506,18
2.19453,17
2.204,26
2.21348,28
2.22295,17
2.23242,21
2.24189,22
2.25137,25
2.26084,16
2.27031,17
2.27979,19
2.28926,14
2.29873,26
2.3082,20
2.31768,21
2.32715,20
2.33662,18
2.34609,22
2.35557,22
2.36504,18
2.37451,17
2.38398,22
2.39346,19
2.40293,16
2.4124,13
2.42187,27
2.43135,14
2.44082,24
2.45029,25
2.45977,19
2.46924,22
2.47871,23
2.48818,16
2.49766,32
2.50713,13
2.5166,19
2.52607,21
2.53555,27
2.54502,25
2.55449,18
2.56396,22
2.57344,23
2.58291,23
2.59238,15
2.60186,16
2.61133,25
2.6208,23
2.63027,17
2.63975,14
2.64922,15
2.65869,6
2.66816,13
2.67764,24
2.68711,15
2.69658,15
2.70605,26
2.71553,20
2.725,19
2.73447,16
2.74395,13
2.75342,27
2.76289,19
2.77236,8
2.78184,24
2.79131,16
2.80078,16
2.81025,18
2.81973,17
2.8292,11
2.83867,18
2.84814,27
2.85762,18
2.86709,16
2.87656,26
