Voltage - Ch0, - Ch0
0.3,132
0.309473,157
0.318945,174
0.328418,180
0.337891,177
0.347363,189
0.356836,207
0.366309,199
0.375781,214
0.385254,253
0.394727,262
0.404199,258
0.413672,269
0.423145,248
0.432617,232
0.44209,246
0.451562,258
0.461035,237
0.470508,250
0.47998,228
0.489453,250
0.498926,228
0.508398,218
0.517871,182
0.527344,223
0.536816,231
0.546289,209
0.555762,231
0.565234,220
0.574707,198
0.58418,217
0.593652,194
0.603125,214
0.612598,193
0.62207,203
0.631543,219
0.641016,215
0.650488,218
0.659961,189
0.669434,175
0.678906,178
0.688379,198
0.697852,190
0.707324,181
0.716797,188
0.72627,146
0.735742,182
0.745215,166
0.754687,183
0.76416,183
0.773633,159
0.783105,151
0.792578,134
0.802051,152
0.811523,137
0.820996,160
0.830469,142
0.839941,150
0.849414,129
0.858887,146
0.868359,143
0.877832,132
0.887305,104
0.896777,126
0.90625,104
0.915723,138
0.925195,126
0.934668,117
0.944141,115
0.953613,117
0.963086,114
0.972559,112
0.982031,98
0.991504,122
1.00098,135
1.01045,120
1.01992,115
1.02939,119
1.03887,115
1.04834,106
1.05781,90
1.06729,106
1.07676,108
1.08623,86
1.0957,102
1.10518,102
1.11465,98
1.12412,116
1.13359,113
1.14307,104
1.15254,80
1.16201,100
1.17148,99
1.18096,87
1.19043,97
1.1999,78
1.20937,107
1.21885,80
1.22832,72
1.23779,80
1.24727,72
1.25674,90
1.26621,60
1.27568,66
1.28516,76
1.29463,57
1.3041,64
1.31357,61
1.32305,69
1.33252,72
1.34199,58
1.35146,60
1.36094,59
1.37041,65
1.37988,64
1.38936,64
1.39883,48
1.4083,60
1.41777,55
1.42725,69
1.43672,33
1.44619,48
1.45566,57
1.46514,50
1.47461,49
1.48408,52
1.49355,51
1.50303,59
1.5125,42
1.52197,53
1.53145,42
1.54092,47
1.55039,46
1.55986,57
1.56934,40
1.57881,49
1.58828,38
1.59775,47
1.60723,40
1.6167,57
1.62617,39
1.63564,39
1.64512,39
1.65459,38
1.66406,41
1.67354,46
1.68301,34
1.69248,42
1.70195,42
1.71143,37
1.7209,46
1.73037,42
1.73984,33
1.74932,48
1.75879,38
1.76826,44
1.77773,38
1.78721,36
1.79668,33
1.80615,40
1.81563,35
1.8251,36
1.83457,32
1.84404,30
1.85352,21
1.86299,37
1.87246,28
1.88193,24
1.89141,29
1.90088,35
1.91035,35
1.91982,23
1.9293,22
