Voltage - Ch0, - Ch0
0.3,125
0.309473,162
0.318945,149
0.328418,157
0.337891,174
0.347363,171
0.356836,204
0.366309,205
0.375781,233
0.385254,205
0.394727,267
0.404199,282
0.413672,249
0.423145,227
0.432617,251
0.44209,232
0.451562,227
0.461035,250
0.470508,262
0.47998,241
0.489453,216
0.498926,254
0.508398,233
0.517871,219
0.527344,257
0.536816,205
0.546289,237
0.555762,230
0.565234,196
0.574707,221
0.58418,203
0.593652,238
0.603125,234
0.612598,193
0.62207,213
0.631543,163
0.641016,200
0.650488,193
0.659961,204
0.669434,195
0.678906,181
0.688379,183
0.697852,190
0.707324,201
0.716797,208
0.72627,179
0.735742,159
0.745215,173
0.754687,144
0.76416,147
0.773633,163
0.783105,157
0.792578,150
0.802051,150
0.811523,142
0.820996,130
0.830469,139
0.839941,141
0.849414,149
0.858887,134
0.868359,142
0.877832,135
0.887305,122
0.896777,129
0.90625,159
0.915723,125
0.925195,129
0.934668,112
0.944141,130
0.953613,119
0.963086,123
0.972559,110
0.982031,112
0.991504,115
1.00098,114
1.01045,115
1.01992,119
1.02939,122
1.03887,112
1.04834,110
1.05781,101
1.06729,106
1.07676,102
1.08623,99
1.0957,86
1.10518,99
1.11465,99
1.12412,96
1.13359,76
1.14307,83
1.15254,92
1.16201,100
1.17148,89
1.18096,89
1.19043,95
1.1999,90
1.20937,86
1.21885,100
1.22832,79
1.23779,76
1.24727,78
1.25674,84
1.26621,75
1.27568,71
1.28516,69
1.29463,64
1.3041,71
1.31357,59
1.32305,60
1.33252,60
1.34199,57
1.35146,61
1.36094,59
1.37041,59
1.37988,51
1.38936,61
1.39883,60
1.4083,64
1.41777,60
1.42725,59
1.43672,62
1.44619,57
1.45566,73
1.46514,54
1.47461,50
1.48408,43
1.49355,57
1.50303,49
1.5125,58
1.52197,53
1.53145,54
1.54092,41
1.55039,39
1.55986,29
1.56934,44
1.57881,47
1.58828,39
1.59775,47
1.60723,44
1.6167,47
1.62617,35
1.63564,40
1.64512,43
1.65459,38
1.66406,37
1.67354,37
1.68301,37
1.69248,38
1.70195,37
1.71143,43
1.7209,38
1.73037,39
1.73984,35
1.74932,42
1.75879,41
1.76826,42
1.77773,44
1.78721,39
1.79668,36
1.80615,47
1.81563,40
1.8251,31
1.83457,29
1.84404,30
1.85352,32
1.86299,26
1.87246,21
1.88193,37
1.89141,38
1.90088,37
1.91035,31
1.91982,26
1.9293,32
1.93877,39
