Voltage - Ch0, - Ch0
0.3,224
0.309473,249
0.318945,278
0.328418,274
0.337891,316
0.347363,304
0.356836,337
0.366309,332
0.375781,325
0.385254,411
0.394727,444
0.404199,437
0.413672,423
0.423145,446
0.432617,391
0.44209,393
0.451562,402
0.461035,390
0.470508,402
0.47998,357
0.489453,385
0.498926,332
0.508398,402
0.517871,322
0.527344,351
0.536816,354
0.546289,392
0.555762,347
0.565234,319
0.574707,350
0.58418,353
0.593652,343
0.603125,326
0.612598,382
0.62207,349
0.631543,378
0.641016,384
0.650488,348
0.659961,374
0.669434,348
0.678906,350
0.688379,365
0.697852,325
0.707324,274
0.716797,322
0.72627,364
0.735742,350
0.745215,315
0.754687,322
0.76416,319
0.773633,350
0.783105,325
0.792578,333
0.802051,308
0.811523,315
0.820996,344
0.830469,330
0.839941,326
0.849414,346
0.858887,329
0.868359,324
0.877832,356
0.887305,369
0.896777,364
0.90625,324
0.915723,350
0.925195,403
0.934668,357
0.944141,352
0.953613,349
0.963086,328
0.972559,354
0.982031,339
0.991504,317
1.00098,332
1.01045,296
1.01992,322
1.02939,302
1.03887,285
1.04834,329
1.05781,293
1.06729,259
1.07676,338
1.08623,319
1.0957,320
1.10518,290
1.11465,261
1.12412,304
1.13359,278
1.14307,315
1.15254,266
1.16201,286
1.17148,248
1.18096,286
1.19043,257
1.1999,255
1.20937,255
1.21885,264
1.22832,222
1.23779,221
1.24727,233
1.25674,224
1.26621,208
1.27568,208
1.28516,231
1.29463,223
1.3041,212
1.31357,219
1.32305,203
1.33252,200
1.34199,204
1.35146,206
1.36094,191
1.37041,194
1.37988,197
1.38936,215
1.39883,203
1.4083,187
1.41777,182
1.42725,201
1.43672,201
1.44619,199
1.45566,193
1.46514,164
1.47461,175
1.48408,195
1.49355,178
1.50303,196
1.5125,156
1.52197,180
1.53145,194
1.54092,178
1.55039,169
1.55986,184
1.56934,181
1.57881,177
1.58828,168
1.59775,151
1.60723,163
1.6167,176
1.62617,143
1.63564,172
1.64512,159
1.65459,141
1.66406,157
1.67354,167
1.68301,131
1.69248,174
1.70195,141
1.71143,123
1.7209,141
1.73037,143
1.73984,152
1.74932,129
1.75879,119
1.76826,114
1.77773,126
1.78721,119
1.79668,132
1.80615,109
1.81563,128
1.8251,140
1.83457,150
1.84404,132
1.85352,116
1.86299,118
1.87246,132
1.88193,122
1.89141,122
1.90088,113
1.91035,118
1.91982,101
1.9293,126
1.93877,116
1.94824,122
1.95771,119
1.96719,126
1.97666,126
1.98613,120
1.99561,128
2.00508,124
2.01455,118
2.02402,107
2.0335,120
2.04297,129
2.05244,116
2.06191,117
2.07139,119
2.08086,130
2.09033,130
2.0998,114
2.10928,126
2.11875,107
2.12822,112
2.1377,127
2.14717,114
2.15664,136
2.16611,125
2.17559,112
2.18506,122
2.19453,134
2.204,129
2.21348,139
2.22295,128
2.23242,128
2.24189,121
2.25137,127
2.26084,130
2.27031,133
2.27979,131
2.28926,137
2.29873,133
2.3082,122
2.31768,156
2.32715,195
2.33662,185
2.34609,188
2.35557,228
2.36504,262
2.37451,281
2.38398,345
2.39346,386
2.40293,386
2.4124,484
2.42187,524
2.43135,540
2.44082,644
2.45029,705
2.45977,737
2.46924,826
2.47871,886
2.48818,913
2.49766,1027
2.50713,1037
2.5166,1024
2.52607,1006
2.53555,1032
2.54502,996
2.55449,980
2.56396,980
2.57344,867
2.58291,892
2.59238,765
2.60186,719
2.61133,658
2.6208,557
2.63027,480
2.63975,444
2.64922,360
2.65869,297
2.66816,276
2.67764,234
2.68711,215
2.69658,160
2.70605,147
2.71553,129
2.725,112
2.73447,74
2.74395,86
2.75342,98
2.76289,83
2.77236,73
2.78184,79
2.79131,81
2.80078,68
2.81025,69
2.81973,68
2.8292,75
2.83867,80
2.84814,74
2.85762,88
2.86709,56
2.87656,95
2.88604,81
2.89551,88
2.90498,73
2.91445,75
2.92393,86
2.9334,67
2.94287,79
2.95234,75
2.96182,77
2.97129,86
2.98076,86
2.99023,72
2.99971,72
3.00918,95
3.01865,92
3.02812,71
3.0376,68
3.04707,74
3.05654,77
3.06602,74
3.07549,83
3.08496,76
3.09443,74
3.10391,60
3.11338,69
3.12285,62
3.13232,78
3.1418,66
3.15127,71
3.16074,79
3.17021,69
3.17969,83
3.18916,70
3.19863,69
3.20811,73
3.21758,69
3.22705,70
3.23652,65
3.246,68
3.25547,75
3.26494,80
3.27441,80
3.28389,86
3.29336,79
3.30283,64
3.3123,71
3.32178,76
3.33125,80
3.34072,72
3.3502,83
3.35967,80
3.36914,74
3.37861,75
3.38809,83
3.39756,56
3.40703,65
3.4165,73
3.42598,69
3.43545,70
3.44492,84
3.45439,80
3.46387,78
3.47334,71
3.48281,53
3.49229,71
3.50176,86
3.51123,81
3.5207,66
3.53018,80
3.53965,75
3.54912,58
3.55859,78
3.56807,71
3.57754,66
3.58701,81
3.59648,91
3.60596,81
3.61543,73
3.6249,80
3.63437,65
3.64385,74
3.65332,72
3.66279,79
3.67227,69
3.68174,75
3.69121,85
3.70068,95
3.71016,83
3.71963,63
3.7291,67
3.73857,97
3.74805,68
3.75752,93
3.76699,86
3.77646,89
3.78594,80
3.79541,72
3.80488,76
3.81436,75
3.82383,83
3.8333,84
3.84277,76
3.85225,73
3.86172,81
3.87119,89
3.88066,62
3.89014,65
3.89961,89
3.90908,83
3.91855,76
3.92803,68
3.9375,74
3.94697,70
3.95645,90
3.96592,80
3.97539,85
3.98486,69
3.99434,84
4.00381,84
4.01328,63
4.02275,78
4.03223,69
4.0417,78
4.05117,88
4.06064,85
4.07012,66
4.07959,78
4.08906,62
4.09854,80
4.10801,88
4.11748,83
4.12695,79
4.13643,70
4.1459,71
4.15537,77
4.16484,81
4.17432,91
4.18379,89
4.19326,80
4.20273,65
4.21221,102
4.22168,82
4.23115,85
4.24062,77
4.2501,67
4.25957,74
4.26904,81
4.27852,99
4.28799,105
4.29746,86
4.30693,96
4.31641,83
4.32588,85
4.33535,83
4.34482,87
4.3543,77
4.36377,96
4.37324,76
4.38271,94
4.39219,84
4.40166,82
4.41113,75
4.42061,70
4.43008,70
4.43955,99
4.44902,72
4.4585,99
4.46797,95
4.47744,88
4.48691,82
4.49639,88
4.50586,79
4.51533,59
4.5248,96
4.53428,86
4.54375,82
4.55322,90
4.5627,83
4.57217,100
4.58164,80
4.59111,89
4.60059,76
4.61006,89
4.61953,88
4.629,84
4.63848,99
4.64795,96
4.65742,79
4.66689,89
4.67637,83
4.68584,82
4.69531,84
4.70479,71
4.71426,56
4.72373,61
4.7332,67
4.74268,73
4.75215,68
4.76162,73
4.77109,75
4.78057,78
4.79004,71
4.79951,59
4.80898,61
4.81846,62
4.82793,63
4.8374,57
4.84687,51
4.85635,53
4.86582,58
4.87529,52
4.88477,45
4.89424,54
4.90371,53
4.91318,49
4.92266,46
4.93213,50
4.9416,40
4.95107,46
4.96055,41
4.97002,48
4.97949,40
4.98896,60
4.99844,45
5.00791,33
5.01738,41
5.02686,43
5.03633,42
5.0458,39
5.05527,53
5.06475,43
5.07422,34
5.08369,35
5.09316,40
5.10264,43
5.11211,29
5.12158,49
5.13105,41
5.14053,41
5.15,40
5.15947,38
5.16895,35
5.17842,32
5.18789,50
5.19736,40
5.20684,32
5.21631,34
5.22578,44
5.23525,33
5.24473,41
5.2542,34
5.26367,45
5.27314,37
5.28262,57
5.29209,47
5.30156,56
5.31104,45
5.32051,60
5.32998,67
5.33945,77
5.34893,106
5.3584,123
5.36787,138
5.37734,189
5.38682,251
5.39629,246
5.40576,302
5.41523,388
5.42471,476
5.43418,518
5.44365,575
5.45312,676
5.4626,671
5.47207,736
