Voltage - Ch0, - Ch0
0.3,282
0.309473,259
0.318945,264
0.328418,288
0.337891,290
0.347363,335
0.356836,313
0.366309,339
0.375781,401
0.385254,444
0.394727,489
0.404199,457
0.413672,484
0.423145,428
0.432617,406
0.44209,385
0.451562,377
0.461035,400
0.470508,387
0.47998,368
0.489453,344
0.498926,354
0.508398,340
0.517871,351
0.527344,363
0.536816,339
0.546289,348
0.555762,363
0.565234,368
0.574707,377
0.58418,354
0.593652,352
0.603125,358
0.612598,356
0.62207,350
0.631543,372
0.641016,339
0.650488,349
0.659961,387
0.669434,362
0.678906,334
0.688379,312
0.697852,343
0.707324,277
0.716797,333
0.72627,311
0.735742,323
0.745215,353
0.754687,333
0.76416,342
0.773633,302
0.783105,340
0.792578,322
0.802051,335
0.811523,344
0.820996,347
0.830469,350
0.839941,368
0.849414,321
0.858887,358
0.868359,340
0.877832,351
0.887305,345
0.896777,357
0.90625,367
0.915723,381
0.925195,377
0.934668,398
0.944141,355
0.953613,370
0.963086,338
0.972559,327
0.982031,307
0.991504,341
1.00098,267
1.01045,320
1.01992,271
1.02939,320
1.03887,287
1.04834,292
1.05781,303
1.06729,294
1.07676,333
1.08623,344
1.0957,284
1.10518,282
1.11465,310
1.12412,294
1.13359,298
1.14307,289
1.15254,279
1.16201,279
1.17148,279
1.18096,273
1.19043,251
1.1999,240
1.20937,234
1.21885,263
1.22832,261
1.23779,229
1.24727,221
1.25674,217
1.26621,207
1.27568,209
1.28516,218
1.29463,241
1.3041,210
1.31357,165
1.32305,224
1.33252,189
1.34199,186
1.35146,220
1.36094,186
1.37041,200
1.37988,164
1.38936,193
1.39883,200
1.4083,188
1.41777,202
1.42725,204
1.43672,195
1.44619,179
1.45566,194
1.46514,208
1.47461,185
1.48408,204
1.49355,186
1.50303,184
1.5125,185
1.52197,181
1.53145,184
1.54092,163
1.55039,171
1.55986,167
1.56934,165
1.57881,176
1.58828,168
1.59775,179
1.60723,165
1.6167,171
1.62617,177
1.63564,165
1.64512,153
1.65459,166
1.66406,165
1.67354,158
1.68301,144
1.69248,154
1.70195,135
1.71143,140
1.7209,149
1.73037,151
1.73984,148
1.74932,124
1.75879,131
1.76826,116
1.77773,123
1.78721,140
1.79668,104
1.80615,125
1.81563,131
1.8251,120
1.83457,135
1.84404,109
1.85352,133
1.86299,134
1.87246,122
1.88193,120
1.89141,107
1.90088,134
1.91035,127
1.91982,113
1.9293,134
1.93877,119
1.94824,123
1.95771,124
1.96719,117
1.97666,118
1.98613,122
1.99561,113
2.00508,117
2.01455,123
2.02402,109
2.0335,126
2.04297,114
2.05244,100
2.06191,142
2.07139,135
2.08086,122
2.09033,128
2.0998,151
2.10928,125
2.11875,136
2.12822,125
2.1377,141
2.14717,139
2.15664,137
2.16611,134
2.17559,135
2.18506,121
2.19453,158
2.204,135
2.21348,114
2.22295,144
2.23242,122
2.24189,119
2.25137,144
2.26084,108
2.27031,132
2.27979,132
2.28926,158
2.29873,137
2.3082,169
2.31768,188
2.32715,178
2.33662,197
2.34609,201
2.35557,242
2.36504,256
2.37451,276
2.38398,290
2.39346,402
2.40293,441
2.4124,525
2.42187,547
2.43135,558
2.44082,625
2.45029,692
2.45977,812
2.46924,812
2.47871,891
2.48818,950
2.49766,1020
2.50713,974
2.5166,1021
2.52607,993
2.53555,1058
2.54502,1002
2.55449,999
2.56396,1003
2.57344,916
2.58291,851
2.59238,750
2.60186,694
2.61133,646
2.6208,568
2.63027,453
2.63975,414
2.64922,382
2.65869,320
2.66816,269
2.67764,238
2.68711,184
2.69658,150
2.70605,151
2.71553,126
2.725,97
2.73447,99
2.74395,94
2.75342,82
2.76289,77
2.77236,98
2.78184,72
2.79131,73
2.80078,78
2.81025,71
2.81973,62
2.8292,72
2.83867,79
2.84814,92
2.85762,80
2.86709,62
2.87656,78
2.88604,59
2.89551,63
2.90498,80
2.91445,95
2.92393,66
2.9334,68
2.94287,67
2.95234,81
2.96182,74
2.97129,78
2.98076,67
2.99023,81
2.99971,85
3.00918,72
3.01865,72
3.02812,69
3.0376,78
3.04707,82
3.05654,72
3.06602,70
3.07549,74
3.08496,69
3.09443,91
3.10391,70
3.11338,66
3.12285,82
3.13232,65
3.1418,59
3.15127,68
3.16074,82
3.17021,79
3.17969,65
3.18916,87
3.19863,79
3.20811,73
3.21758,86
3.22705,60
3.23652,77
3.246,71
3.25547,72
3.26494,67
3.27441,72
3.28389,69
3.29336,73
3.30283,69
3.3123,65
3.32178,75
3.33125,78
3.34072,67
3.3502,82
3.35967,82
3.36914,80
3.37861,87
3.38809,76
3.39756,72
3.40703,73
3.4165,57
3.42598,89
3.43545,71
3.44492,81
3.45439,68
3.46387,61
3.47334,76
3.48281,84
3.49229,80
3.50176,97
3.51123,62
3.5207,60
3.53018,78
3.53965,79
3.54912,78
3.55859,78
3.56807,69
3.57754,72
3.58701,74
3.59648,77
3.60596,83
3.61543,88
3.6249,76
3.63437,67
3.64385,71
3.65332,74
3.66279,81
3.67227,77
3.68174,77
3.69121,84
3.70068,86
3.71016,82
3.71963,78
3.7291,79
3.73857,77
3.74805,86
3.75752,74
3.76699,89
3.77646,68
3.78594,75
3.79541,80
3.80488,67
3.81436,69
3.82383,81
3.8333,81
3.84277,80
3.85225,79
3.86172,70
3.87119,75
3.88066,79
3.89014,78
3.89961,76
3.90908,67
3.91855,85
3.92803,73
3.9375,81
3.94697,89
3.95645,89
3.96592,65
3.97539,70
3.98486,70
3.99434,67
4.00381,73
4.01328,84
4.02275,82
4.03223,85
4.0417,82
4.05117,79
4.06064,84
4.07012,71
4.07959,80
4.08906,93
4.09854,91
4.10801,91
4.11748,84
4.12695,75
4.13643,85
4.1459,81
4.15537,90
4.16484,77
4.17432,81
4.18379,75
4.19326,86
4.20273,96
4.21221,81
4.22168,93
4.23115,75
4.24062,87
4.2501,83
4.25957,85
4.26904,76
4.27852,87
4.28799,93
4.29746,68
4.30693,75
4.31641,70
4.32588,78
4.33535,79
4.34482,85
4.3543,97
4.36377,78
4.37324,87
4.38271,78
4.39219,92
4.40166,76
4.41113,92
4.42061,79
4.43008,91
4.43955,73
4.44902,95
4.4585,99
4.46797,82
4.47744,91
4.48691,100
4.49639,84
4.50586,76
4.51533,106
4.5248,102
4.53428,75
4.54375,87
4.55322,74
4.5627,76
4.57217,77
4.58164,74
4.59111,96
4.60059,85
4.61006,69
4.61953,81
4.629,76
4.63848,62
4.64795,82
4.65742,93
4.66689,77
4.67637,82
4.68584,85
4.69531,81
4.70479,75
4.71426,65
4.72373,70
4.7332,65
4.74268,72
4.75215,78
4.76162,61
4.77109,71
4.78057,63
4.79004,61
4.79951,47
4.80898,55
4.81846,70
4.82793,56
4.8374,65
4.84687,47
4.85635,49
4.86582,50
4.87529,57
4.88477,42
4.89424,58
4.90371,42
4.91318,69
4.92266,60
4.93213,47
4.9416,47
4.95107,54
4.96055,54
4.97002,45
4.97949,56
4.98896,38
4.99844,44
5.00791,39
5.01738,48
5.02686,52
5.03633,51
5.0458,42
5.05527,34
5.06475,42
5.07422,41
5.08369,45
5.09316,43
5.10264,35
5.11211,52
5.12158,46
5.13105,50
5.14053,43
5.15,46
5.15947,51
5.16895,37
5.17842,43
5.18789,37
5.19736,48
5.20684,45
5.21631,42
5.22578,34
5.23525,31
5.24473,45
5.2542,53
5.26367,41
5.27314,40
5.28262,48
5.29209,37
5.30156,45
5.31104,48
5.32051,63
5.32998,72
5.33945,83
5.34893,95
5.3584,139
5.36787,157
5.37734,186
5.38682,259
5.39629,283
5.40576,354
5.41523,401
5.42471,460
5.43418,508
5.44365,588
5.45312,644
5.4626,684
5.47207,738
5.48154,717
5.49102,722
5.50049,678
5.50996,641
5.51943,527
5.52891,464
5.53838,422
5.54785,348
5.55732,264
5.5668,188
5.57627,137
5.58574,83
5.59521,87
5.60469,44
5.61416,22
5.62363,21
5.63311,16
5.64258,14
5.65205,14
5.66152,22
5.671,23
5.68047,18
5.68994,31
5.69941,34
5.70889,25
5.71836,49
5.72783,54
5.7373,57
5.74678,67
5.75625,56
5.76572,46
5.7752,38
5.78467,51
5.79414,38
5.80361,21
5.81309,20
5.82256,22
5.83203,4
5.8415,14
5.85098,16
5.86045,8
5.86992,19
5.87939,26
5.88887,28
5.89834,23
5.90781,24
5.91729,7
5.92676,7
5.93623,12
5.9457,11
5.95518,10
5.96465,16
5.97412,11
5.98359,16
5.99307,9
6.00254,13
6.01201,15
6.02148,12
6.03096,15
6.04043,16
6.0499,9
6.05937,24
6.06885,16
6.07832,26
6.08779,26
6.09727,14
6.10674,8
6.11621,11
6.12568,1
6.13516,0
6.14463,0
6.1541,1
6.16357,0
6.17305,0
6.18252,0
6.19199,0
6.20146,0
6.21094,1
6.22041,0
6.22988,1
6.23936,0
6.24883,0
6.2583,0
6.26777,0
6.27725,0
6.28672,0
6.29619,0
6.30566,0
6.31514,0
6.32461,0
6.33408,0
6.34355,0
6.35303,0
6.3625,0
6.37197,0
6.38145,0
6.39092,0
6.40039,0
6.40986,0
6.41934,0
6.42881,0
6.43828,0
6.44775,0
6.45723,0
6.4667,0
6.47617,0
6.48564,0
6.49512,0
6.50459,0
6.51406,0
6.52354,0
6.53301,0
6.54248,0
6.55195,0
6.56143,0
6.5709,0
6.58037,0
6.58984,0
6.59932,0
6.60879,0
6.61826,0
6.62773,0
6.63721,0
6.64668,0
6.65615,0
6.66562,0
6.6751,0
6.68457,0
6.69404,0
6.70352,0
6.71299,0
6.72246,0
6.73193,0
6.74141,0
6.75088,0
6.76035,0
6.76982,0
6.7793,0
6.78877,0
6.79824,0
6.80771,0
6.81719,0
6.82666,0
6.83613,0
6.84561,0
6.85508,0
6.86455,0
6.87402,0
6.8835,0
6.89297,0
6.90244,0
6.91191,0
6.92139,0
6.93086,0
6.94033,0
6.9498,0
6.95928,0
6.96875,0
6.97822,0
6.9877,0
6.99717,0
7.00664,0
7.01611,0
7.02559,0
7.03506,0
7.04453,0
7.054,0
7.06348,0
7.07295,0
7.08242,0
7.09189,0
7.10137,0
7.11084,0
7.12031,0
7.12979,0
7.13926,0
7.14873,0
7.1582,0
7.16768,0
7.17715,0
7.18662,0
7.19609,0
7.20557,0
7.21504,0
7.22451,0
7.23398,0
7.24346,0
7.25293,0
7.2624,0
7.27187,0
7.28135,0
7.29082,0
7.30029,0
7.30977,0
7.31924,0
7.32871,0
7.33818,0
7.34766,0
7.35713,0
7.3666,0
7.37607,0
7.38555,0
7.39502,0
7.40449,0
7.41396,0
7.42344,0
7.43291,0
7.44238,0
7.45186,0
7.46133,0
7.4708,0
7.48027,0
7.48975,0
7.49922,0
7.50869,0
7.51816,0
7.52764,0
7.53711,0
7.54658,0
7.55605,0
7.56553,0
7.575,0
7.58447,0
7.59395,0
7.60342,0
7.61289,0
7.62236,0
7.63184,0
7.64131,0
7.65078,0
7.66025,0
7.66973,0
7.6792,0
7.68867,0
7.69814,0
7.70762,0
7.71709,0
7.72656,0
7.73604,0
7.74551,0
7.75498,0
7.76445,0
7.77393,0
7.7834,0
7.79287,0
7.80234,0
7.81182,0
7.82129,0
7.83076,0
7.84023,0
7.84971,0
7.85918,0
7.86865,0
7.87812,0
7.8876,0
7.89707,0
7.90654,0
7.91602,0
7.92549,0
7.93496,0
7.94443,0
7.95391,0
7.96338,0
7.97285,0
7.98232,0
7.9918,0
8.00127,0
8.01074,0
8.02021,0
8.02969,0
8.03916,0
8.04863,0
8.05811,0
8.06758,0
8.07705,0
8.08652,0
8.096,0
8.10547,0
8.11494,0
8.12441,0
8.13389,0
8.14336,0
8.15283,0
8.1623,0
8.17178,0
8.18125,0
8.19072,0
8.2002,0
8.20967,0
8.21914,0
8.22861,0
8.23809,0
8.24756,0
8.25703,0
8.2665,0
8.27598,0
8.28545,0
8.29492,0
8.30439,0
8.31387,0
8.32334,0
8.33281,0
8.34229,0
8.35176,0
8.36123,0
8.3707,0
8.38018,0
8.38965,0
8.39912,0
8.40859,0
8.41807,0
8.42754,0
8.43701,0
8.44648,0
8.45596,0
8.46543,0
8.4749,0
8.48438,0
8.49385,0
8.50332,0
8.51279,0
8.52227,0
8.53174,0
8.54121,0
8.55068,0
8.56016,0
8.56963,0
8.5791,0
8.58857,0
8.59805,0
8.60752,0
8.61699,0
8.62646,0
8.63594,0
8.64541,0
8.65488,0
8.66436,0
8.67383,0
8.6833,0
8.69277,0
8.70225,0
8.71172,0
8.72119,0
8.73066,0
8.74014,0
8.74961,0
8.75908,0
8.76855,0
8.77803,0
8.7875,0
8.79697,0
8.80645,0
8.81592,0
8.82539,0
8.83486,0
8.84434,0
8.85381,0
8.86328,0
8.87275,0
8.88223,0
8.8917,0
8.90117,0
8.91064,0
8.92012,0
8.92959,0
8.93906,0
8.94854,0
8.95801,0
8.96748,0
8.97695,0
8.98643,0
8.9959,0
9.00537,0
9.01484,0
9.02432,0
9.03379,0
9.04326,0
9.05273,0
9.06221,0
9.07168,0
9.08115,0
9.09062,0
9.1001,0
9.10957,0
9.11904,0
9.12852,0
9.13799,0
9.14746,0
9.15693,0
9.16641,0
9.17588,0
9.18535,0
9.19482,0
9.2043,0
9.21377,0
9.22324,0
9.23271,0
9.24219,0
9.25166,0
9.26113,0
9.27061,0
9.28008,0
9.28955,0
9.29902,0
9.3085,0
9.31797,0
9.32744,0
9.33691,0
9.34639,0
9.35586,0
9.36533,0
9.3748,0
9.38428,0
9.39375,0
9.40322,0
9.4127,0
9.42217,0
9.43164,0
9.44111,0
9.45059,0
9.46006,0
9.46953,0
9.479,0
9.48848,0
9.49795,0
9.50742,0
9.51689,0
9.52637,0
9.53584,0
9.54531,0
9.55479,0
9.56426,0
9.57373,0
9.5832,0
9.59268,0
9.60215,0
9.61162,0
9.62109,0
9.63057,0
9.64004,0
9.64951,0
9.65898,0
9.66846,0
9.67793,0
9.6874,0
9.69688,0
9.70635,0
9.71582,0
9.72529,0
9.73477,0
9.74424,0
9.75371,0
9.76318,0
9.77266,0
9.78213,0
9.7916,0
9.80107,0
9.81055,0
9.82002,0
9.82949,0
9.83896,0
9.84844,0
9.85791,0
9.86738,0
9.87686,0
9.88633,0
9.8958,0
9.90527,0
9.91475,0
9.92422,0
9.93369,0
9.94316,0
9.95264,0
9.96211,0
9.97158,0
9.98105,0
9.99053,0
