Voltage - Ch0, - Ch0,Voltage - Ch1, - Ch1
0.3,96,0.3,0
0.309473,105,0.30166,0
0.318945,87,0.30332,0
0.328418,119,0.30498,0
0.337891,119,0.306641,0
0.347363,140,0.308301,0
0.356836,124,0.309961,0
0.366309,132,0.311621,0
0.375781,161,0.313281,0
0.385254,165,0.314941,0
0.394727,171,0.316602,0
0.404199,185,0.318262,0
0.413672,145,0.319922,0
0.423145,141,0.321582,0
0.432617,138,0.323242,0
0.44209,142,0.324902,0
0.451562,155,0.326562,0
0.461035,158,0.328223,0
0.470508,164,0.329883,0
0.47998,155,0.331543,0
0.489453,155,0.333203,0
0.498926,163,0.334863,0
0.508398,176,0.336523,0
0.517871,156,0.338184,0
0.527344,151,0.339844,0
0.536816,143,0.341504,0
0.546289,158,0.343164,0
0.555762,151,0.344824,0
0.565234,135,0.346484,0
0.574707,135,0.348145,0
0.58418,130,0.349805,0
0.593652,153,0.351465,0
0.603125,153,0.353125,0
0.612598,145,0.354785,0
0.62207,135,0.356445,0
0.631543,147,0.358105,0
0.641016,141,0.359766,0
0.650488,156,0.361426,0
0.659961,165,0.363086,0
0.669434,156,0.364746,0
0.678906,147,0.366406,0
0.688379,124,0.368066,0
0.697852,176,0.369727,0
0.707324,131,0.371387,0
0.716797,145,0.373047,0
0.72627,129,0.374707,0
0.735742,140,0.376367,0
0.745215,132,0.378027,0
0.754687,146,0.379687,0
0.76416,151,0.381348,0
0.773633,132,0.383008,0
0.783105,152,0.384668,0
0.792578,122,0.386328,0
0.802051,139,0.387988,0
0.811523,131,0.389648,0
0.820996,134,0.391309,0
0.830469,149,0.392969,0
0.839941,143,0.394629,0
0.849414,152,0.396289,0
0.858887,110,0.397949,0
0.868359,145,0.399609,0
0.877832,130,0.40127,0
0.887305,153,0.40293,0
0.896777,154,0.40459,0
0.90625,136,0.40625,0
0.915723,167,0.40791,0
0.925195,115,0.40957,0
0.934668,156,0.41123,0
0.944141,118,0.412891,0
0.953613,133,0.414551,0
0.963086,114,0.416211,0
0.972559,102,0.417871,0
0.982031,122,0.419531,0
0.991504,118,0.421191,0
1.00098,125,0.422852,0
1.01045,127,0.424512,0
1.01992,119,0.426172,0
1.02939,110,0.427832,0
1.03887,96,0.429492,0
1.04834,125,0.431152,0
1.05781,128,0.432812,0
1.06729,111,0.434473,0
1.07676,116,0.436133,0
1.08623,111,0.437793,0
1.0957,114,0.439453,0
1.10518,132,0.441113,0
1.11465,119,0.442773,0
1.12412,111,0.444434,0
1.13359,116,0.446094,0
1.14307,100,0.447754,0
1.15254,79,0.449414,0
1.16201,113,0.451074,0
1.17148,107,0.452734,0
1.18096,108,0.454395,0
1.19043,87,0.456055,0
1.1999,87,0.457715,0
1.20937,87,0.459375,0
1.21885,70,0.461035,0
1.22832,89,0.462695,0
1.23779,75,0.464355,0
1.24727,75,0.466016,0
1.25674,90,0.467676,0
1.26621,79,0.469336,0
1.27568,78,0.470996,0
1.28516,73,0.472656,0
1.29463,81,0.474316,0
1.3041,82,0.475977,0
1.31357,81,0.477637,0
1.32305,77,0.479297,0
1.33252,53,0.480957,0
1.34199,70,0.482617,0
1.35146,70,0.484277,0
1.36094,83,0.485938,0
1.37041,57,0.487598,0
1.37988,62,0.489258,0
1.38936,79,0.490918,0
1.39883,64,0.492578,0
1.4083,60,0.494238,0
1.41777,70,0.495898,0
1.42725,92,0.497559,0
1.43672,71,0.499219,0
1.44619,77,0.500879,0
1.45566,67,0.502539,0
1.46514,56,0.504199,0
1.47461,66,0.505859,0
1.48408,67,0.50752,0
1.49355,67,0.50918,0
1.50303,64,0.51084,0
1.5125,60,0.5125,0
1.52197,50,0.51416,0
1.53145,63,0.51582,0
1.54092,64,0.51748,0
1.55039,60,0.519141,0
1.55986,61,0.520801,0
1.56934,77,0.522461,0
1.57881,61,0.524121,0
1.58828,60,0.525781,0
1.59775,55,0.527441,0
1.60723,54,0.529102,0
1.6167,53,0.530762,0
1.62617,46,0.532422,0
1.63564,49,0.534082,0
1.64512,60,0.535742,0
1.65459,49,0.537402,0
1.66406,57,0.539062,0
1.67354,53,0.540723,0
1.68301,37,0.542383,0
1.69248,52,0.544043,0
1.70195,35,0.545703,0
1.71143,32,0.547363,0
1.7209,49,0.549023,0
1.73037,45,0.550684,0
1.73984,52,0.552344,0
1.74932,55,0.554004,0
1.75879,47,0.555664,0
1.76826,31,0.557324,0
1.77773,44,0.558984,0
1.78721,47,0.560645,0
1.79668,31,0.562305,0
1.80615,37,0.563965,0
1.81563,45,0.565625,0
1.8251,36,0.567285,0
1.83457,40,0.568945,0
1.84404,44,0.570605,0
1.85352,38,0.572266,0
1.86299,30,0.573926,0
1.87246,42,0.575586,0
1.88193,32,0.577246,0
1.89141,37,0.578906,0
1.90088,44,0.580566,0
1.91035,34,0.582227,0
1.91982,34,0.583887,0
1.9293,60,0.585547,0
1.93877,43,0.587207,0
1.94824,38,0.588867,0
1.95771,28,0.590527,0
1.96719,39,0.592187,0
1.97666,47,0.593848,0
1.98613,38,0.595508,0
1.99561,48,0.597168,0
2.00508,40,0.598828,0
2.01455,44,0.600488,0
2.02402,23,0.602148,0
2.0335,40,0.603809,0
2.04297,34,0.605469,0
2.05244,29,0.607129,0
2.06191,35,0.608789,0
2.07139,40,0.610449,0
2.08086,42,0.612109,0
2.09033,46,0.61377,0
2.0998,35,0.61543,0
2.10928,29,0.61709,0
2.11875,33,0.61875,0
2.12822,37,0.62041,0
2.1377,35,0.62207,0
2.14717,32,0.62373,0
2.15664,36,0.625391,0
2.16611,38,0.627051,0
2.17559,39,0.628711,0
2.18506,40,0.630371,1
2.19453,41,0.632031,0
2.204,40,0.633691,0
2.21348,34,0.635352,0
2.22295,40,0.637012,0
2.23242,47,0.638672,0
2.24189,37,0.640332,0
2.25137,41,0.641992,0
2.26084,52,0.643652,0
2.27031,39,0.645312,0
2.27979,46,0.646973,0
2.28926,38,0.648633,0
2.29873,45,0.650293,0
2.3082,54,0.651953,0
2.31768,56,0.653613,0
2.32715,57,0.655273,0
2.33662,64,0.656934,0
2.34609,64,0.658594,0
2.35557,74,0.660254,0
2.36504,88,0.661914,0
2.37451,97,0.663574,0
2.38398,104,0.665234,0
2.39346,116,0.666895,0
2.40293,127,0.668555,0
2.4124,144,0.670215,0
2.42187,143,0.671875,0
2.43135,180,0.673535,0
2.44082,187,0.675195,0
2.45029,205,0.676855,0
2.45977,250,0.678516,0
2.46924,237,0.680176,0
2.47871,238,0.681836,0
2.48818,269,0.683496,0
2.49766,272,0.685156,0
2.50713,278,0.686816,1
2.5166,312,0.688477,0
2.52607,290,0.690137,0
2.53555,244,0.691797,0
2.54502,250,0.693457,0
2.55449,246,0.695117,0
2.56396,230,0.696777,0
2.57344,207,0.698438,0
2.58291,205,0.700098,0
2.59238,200,0.701758,0
2.60186,157,0.703418,0
2.61133,146,0.705078,0
2.6208,102,0.706738,0
2.63027,89,0.708398,0
2.63975,84,0.710059,0
2.64922,77,0.711719,0
2.65869,52,0.713379,0
2.66816,45,0.715039,0
2.67764,32,0.716699,0
2.68711,50,0.718359,0
2.69658,28,0.72002,0
2.70605,30,0.72168,0
2.71553,29,0.72334,0
2.725,19,0.725,0
2.73447,24,0.72666,0
2.74395,14,0.72832,0
2.75342,22,0.72998,0
2.76289,24,0.731641,0
2.77236,16,0.733301,0
2.78184,18,0.734961,0
2.79131,28,0.736621,0
2.80078,21,0.738281,0
2.81025,19,0.739941,0
2.81973,24,0.741602,0
2.8292,16,0.743262,0
2.83867,27,0.744922,0
2.84814,23,0.746582,0
2.85762,11,0.748242,0
2.86709,23,0.749902,0
2.87656,26,0.751562,0
2.88604,30,0.753223,0
2.89551,15,0.754883,0
2.90498,24,0.756543,0
2.91445,32,0.758203,0
2.92393,19,0.759863,0
2.9334,33,0.761523,0
2.94287,28,0.763184,0
2.95234,18,0.764844,0
2.96182,25,0.766504,0
2.97129,25,0.768164,0
2.98076,24,0.769824,0
2.99023,26,0.771484,1
2.99971,16,0.773145,0
3.00918,31,0.774805,0
3.01865,16,0.776465,0
3.02812,22,0.778125,0
3.0376,20,0.779785,0
3.04707,21,0.781445,0
3.05654,27,0.783105,0
3.06602,18,0.784766,0
3.07549,18,0.786426,0
3.08496,25,0.788086,0
3.09443,24,0.789746,0
3.10391,15,0.791406,0
3.11338,15,0.793066,0
3.12285,14,0.794727,0
3.13232,24,0.796387,0
3.1418,13,0.798047,0
3.15127,23,0.799707,0
3.16074,28,0.801367,0
3.17021,20,0.803027,0
3.17969,21,0.804687,0
3.18916,23,0.806348,0
3.19863,24,0.808008,0
3.20811,27,0.809668,0
3.21758,17,0.811328,0
3.22705,19,0.812988,0
3.23652,21,0.814648,0
3.246,16,0.816309,0
3.25547,20,0.817969,0
3.26494,21,0.819629,0
3.27441,16,0.821289,0
3.28389,15,0.822949,0
3.29336,18,0.824609,0
3.30283,16,0.82627,0
3.3123,27,0.82793,0
3.32178,20,0.82959,0
3.33125,23,0.83125,0
3.34072,10,0.83291,0
3.3502,20,0.83457,0
3.35967,29,0.83623,0
3.36914,28,0.837891,0
3.37861,22,0.839551,0
3.38809,22,0.841211,0
3.39756,24,0.842871,0
3.40703,22,0.844531,0
3.4165,15,0.846191,0
3.42598,22,0.847852,0
3.43545,24,0.849512,0
3.44492,21,0.851172,0
3.45439,21,0.852832,0
3.46387,16,0.854492,0
3.47334,12,0.856152,0
3.48281,21,0.857812,0
3.49229,27,0.859473,0
3.50176,28,0.861133,0
3.51123,20,0.862793,0
3.5207,15,0.864453,0
3.53018,17,0.866113,0
3.53965,23,0.867773,0
3.54912,19,0.869434,0
3.55859,19,0.871094,0
3.56807,9,0.872754,0
3.57754,24,0.874414,0
3.58701,21,0.876074,0
3.59648,16,0.877734,0
3.60596,19,0.879395,0
3.61543,18,0.881055,0
3.6249,18,0.882715,0
3.63437,23,0.884375,0
3.64385,21,0.886035,0
3.65332,19,0.887695,0
3.66279,20,0.889355,0
3.67227,27,0.891016,0
3.68174,12,0.892676,0
3.69121,28,0.894336,0
3.70068,30,0.895996,0
3.71016,23,0.897656,0
3.71963,19,0.899316,0
3.7291,26,0.900977,0
3.73857,24,0.902637,0
3.74805,30,0.904297,0
3.75752,20,0.905957,0
3.76699,18,0.907617,0
3.77646,21,0.909277,0
3.78594,21,0.910937,0
3.79541,20,0.912598,0
3.80488,17,0.914258,0
3.81436,21,0.915918,0
3.82383,27,0.917578,0
3.8333,17,0.919238,0
3.84277,19,0.920898,0
3.85225,16,0.922559,0
3.86172,17,0.924219,0
3.87119,22,0.925879,0
3.88066,16,0.927539,0
3.89014,24,0.929199,0
3.89961,28,0.930859,0
3.90908,28,0.93252,0
3.91855,28,0.93418,0
3.92803,19,0.93584,0
3.9375,19,0.9375,0
3.94697,13,0.93916,0
3.95645,20,0.94082,0
3.96592,23,0.94248,0
3.97539,20,0.944141,0
3.98486,29,0.945801,0
3.99434,21,0.947461,0
4.00381,18,0.949121,0
4.01328,19,0.950781,0
4.02275,22,0.952441,0
4.03223,28,0.954102,0
4.0417,15,0.955762,0
4.05117,29,0.957422,0
4.06064,24,0.959082,0
4.07012,23,0.960742,0
4.07959,18,0.962402,0
4.08906,32,0.964063,0
4.09854,21,0.965723,0
4.10801,26,0.967383,0
4.11748,20,0.969043,0
4.12695,17,0.970703,0
4.13643,27,0.972363,0
4.1459,19,0.974023,0
4.15537,22,0.975684,0
4.16484,28,0.977344,0
4.17432,21,0.979004,0
4.18379,22,0.980664,0
4.19326,33,0.982324,0
4.20273,25,0.983984,0
4.21221,26,0.985645,0
4.22168,25,0.987305,0
4.23115,21,0.988965,0
4.24062,19,0.990625,0
4.2501,21,0.992285,0
4.25957,17,0.993945,0
4.26904,26,0.995605,0
4.27852,27,0.997266,0
4.28799,18,0.998926,0
4.29746,22,1.00059,0
4.30693,22,1.00225,0
4.31641,25,1.00391,0
4.32588,25,1.00557,0
4.33535,24,1.00723,0
4.34482,34,1.00889,0
4.3543,25,1.01055,0
4.36377,20,1.01221,0
4.37324,25,1.01387,0
4.38271,24,1.01553,0
4.39219,22,1.01719,0
4.40166,26,1.01885,0
4.41113,20,1.02051,0
4.42061,19,1.02217,0
4.43008,21,1.02383,0
4.43955,26,1.02549,0
4.44902,20,1.02715,0
4.4585,26,1.02881,0
4.46797,26,1.03047,0
4.47744,18,1.03213,0
4.48691,22,1.03379,0
4.49639,31,1.03545,0
4.50586,26,1.03711,0
4.51533,24,1.03877,0
4.5248,25,1.04043,0
4.53428,23,1.04209,0
4.54375,25,1.04375,0
4.55322,21,1.04541,0
4.5627,29,1.04707,0
4.57217,21,1.04873,0
4.58164,23,1.05039,0
4.59111,18,1.05205,0
4.60059,30,1.05371,0
4.61006,21,1.05537,0
4.61953,27,1.05703,0
4.629,26,1.05869,0
4.63848,16,1.06035,1
4.64795,21,1.06201,0
4.65742,20,1.06367,0
4.66689,15,1.06533,0
4.67637,27,1.06699,0
4.68584,24,1.06865,0
4.69531,13,1.07031,0
4.70479,25,1.07197,0
4.71426,17,1.07363,0
4.72373,13,1.07529,0
4.7332,18,1.07695,0
4.74268,17,1.07861,0
4.75215,26,1.08027,0
4.76162,19,1.08193,0
4.77109,18,1.08359,0
4.78057,15,1.08525,0
4.79004,19,1.08691,0
4.79951,13,1.08857,0
4.80898,21,1.09023,0
4.81846,17,1.09189,0
4.82793,19,1.09355,0
4.8374,19,1.09521,0
4.84687,11,1.09688,0
4.85635,14,1.09854,0
4.86582,10,1.1002,0
4.87529,5,1.10186,0
4.88477,17,1.10352,0
4.89424,29,1.10518,0
4.90371,15,1.10684,0
4.91318,16,1.1085,0
4.92266,15,1.11016,0
4.93213,15,1.11182,0
4.9416,12,1.11348,0
4.95107,5,1.11514,0
4.96055,7,1.1168,0
4.97002,15,1.11846,0
4.97949,11,1.12012,0
4.98896,15,1.12178,0
4.99844,10,1.12344,0
5.00791,20,1.1251,0
5.01738,9,1.12676,0
5.02686,10,1.12842,0
5.03633,18,1.13008,0
5.0458,11,1.13174,0
5.05527,9,1.1334,0
5.06475,10,1.13506,0
5.07422,12,1.13672,0
5.08369,10,1.13838,0
5.09316,8,1.14004,0
5.10264,10,1.1417,0
5.11211,14,1.14336,0
5.12158,11,1.14502,0
5.13105,18,1.14668,0
5.14053,17,1.14834,0
5.15,11,1.15,0
5.15947,10,1.15166,0
5.16895,8,1.15332,0
5.17842,10,1.15498,0
5.18789,15,1.15664,0
5.19736,17,1.1583,0
5.20684,13,1.15996,0
5.21631,14,1.16162,0
5.22578,14,1.16328,0
5.23525,11,1.16494,0
5.24473,11,1.1666,0
5.2542,11,1.16826,0
5.26367,15,1.16992,0
5.27314,9,1.17158,0
5.28262,19,1.17324,0
5.29209,17,1.1749,0
5.30156,24,1.17656,0
5.31104,14,1.17822,0
5.32051,25,1.17988,0
5.32998,25,1.18154,0
5.33945,28,1.1832,0
5.34893,26,1.18486,0
5.3584,42,1.18652,0
5.36787,59,1.18818,0
5.37734,78,1.18984,0
5.38682,68,1.1915,0
5.39629,80,1.19316,0
5.40576,107,1.19482,0
5.41523,132,1.19648,0
5.42471,136,1.19814,0
5.43418,152,1.1998,0
5.44365,154,1.20146,0
5.45312,187,1.20313,0
5.4626,176,1.20479,0
5.47207,198,1.20645,0
5.48154,190,1.20811,0
5.49102,192,1.20977,0
5.50049,167,1.21143,0
5.50996,159,1.21309,0
5.51943,126,1.21475,0
5.52891,115,1.21641,0
5.53838,106,1.21807,0
5.54785,70,1.21973,0
5.55732,36,1.22139,0
5.5668,38,1.22305,0
5.57627,25,1.22471,0
5.58574,18,1.22637,0
5.59521,20,1.22803,0
5.60469,7,1.22969,0
5.61416,9,1.23135,0
5.62363,10,1.23301,0
5.63311,5,1.23467,0
5.64258,6,1.23633,0
5.65205,12,1.23799,0
5.66152,7,1.23965,0
5.671,13,1.24131,0
5.68047,13,1.24297,0
5.68994,15,1.24463,0
5.69941,17,1.24629,0
5.70889,16,1.24795,0
5.71836,14,1.24961,0
5.72783,32,1.25127,0
5.7373,24,1.25293,0
5.74678,26,1.25459,0
5.75625,27,1.25625,0
5.76572,20,1.25791,0
5.7752,19,1.25957,0
5.78467,17,1.26123,0
5.79414,14,1.26289,0
5.80361,16,1.26455,0
5.81309,7,1.26621,0
5.82256,6,1.26787,0
5.83203,1,1.26953,0
5.8415,5,1.27119,0
5.85098,2,1.27285,0
5.86045,1,1.27451,0
5.86992,5,1.27617,0
5.87939,6,1.27783,0
5.88887,9,1.27949,0
5.89834,15,1.28115,0
5.90781,14,1.28281,0
5.91729,7,1.28447,0
5.92676,4,1.28613,0
5.93623,8,1.28779,0
5.9457,8,1.28945,0
5.95518,0,1.29111,0
5.96465,1,1.29277,0
5.97412,5,1.29443,0
5.98359,5,1.29609,0
5.99307,6,1.29775,0
6.00254,5,1.29941,0
6.01201,14,1.30107,0
6.02148,7,1.30273,0
6.03096,7,1.30439,0
6.04043,6,1.30605,0
6.0499,5,1.30771,0
6.05937,10,1.30937,0
6.06885,5,1.31104,0
6.07832,10,1.3127,0
6.08779,11,1.31436,0
6.09727,5,1.31602,0
6.10674,10,1.31768,0
6.11621,8,1.31934,0
6.12568,12,1.321,0
6.13516,3,1.32266,0
6.14463,4,1.32432,0
6.1541,0,1.32598,0
6.16357,0,1.32764,0
6.17305,0,1.3293,0
6.18252,0,1.33096,0
6.19199,0,1.33262,0
6.20146,0,1.33428,0
6.21094,0,1.33594,0
6.22041,0,1.3376,0
6.22988,0,1.33926,0
6.23936,0,1.34092,0
6.24883,0,1.34258,0
6.2583,0,1.34424,0
6.26777,0,1.3459,0
6.27725,0,1.34756,0
6.28672,0,1.34922,0
6.29619,0,1.35088,0
6.30566,0,1.35254,0
6.31514,0,1.3542,0
6.32461,1,1.35586,0
6.33408,0,1.35752,0
6.34355,0,1.35918,0
6.35303,0,1.36084,0
6.3625,0,1.3625,0
6.37197,0,1.36416,0
6.38145,0,1.36582,0
6.39092,0,1.36748,0
6.40039,0,1.36914,0
6.40986,0,1.3708,0
6.41934,0,1.37246,0
6.42881,0,1.37412,0
6.43828,0,1.37578,0
6.44775,0,1.37744,0
6.45723,0,1.3791,0
6.4667,0,1.38076,0
6.47617,0,1.38242,0
6.48564,0,1.38408,0
6.49512,0,1.38574,0
6.50459,0,1.3874,0
6.51406,0,1.38906,0
6.52354,0,1.39072,0
6.53301,0,1.39238,0
6.54248,0,1.39404,0
6.55195,0,1.3957,0
6.56143,0,1.39736,0
6.5709,0,1.39902,0
6.58037,0,1.40068,0
6.58984,0,1.40234,0
6.59932,0,1.404,0
6.60879,0,1.40566,0
6.61826,0,1.40732,0
6.62773,0,1.40898,0
6.63721,0,1.41064,0
6.64668,0,1.4123,0
6.65615,0,1.41396,0
6.66562,0,1.41562,0
6.6751,0,1.41729,0
6.68457,0,1.41895,0
6.69404,0,1.42061,0
6.70352,0,1.42227,0
6.71299,0,1.42393,0
6.72246,0,1.42559,0
6.73193,0,1.42725,0
6.74141,0,1.42891,0
6.75088,0,1.43057,0
6.76035,0,1.43223,0
6.76982,0,1.43389,0
6.7793,0,1.43555,0
6.78877,0,1.43721,0
6.79824,0,1.43887,0
6.80771,0,1.44053,0
6.81719,0,1.44219,0
6.82666,0,1.44385,0
6.83613,0,1.44551,0
6.84561,0,1.44717,0
6.85508,0,1.44883,0
6.86455,0,1.45049,0
6.87402,0,1.45215,0
6.8835,0,1.45381,0
6.89297,0,1.45547,0
6.90244,0,1.45713,0
6.91191,0,1.45879,0
6.92139,0,1.46045,0
6.93086,0,1.46211,0
6.94033,0,1.46377,0
6.9498,0,1.46543,0
6.95928,0,1.46709,0
6.96875,0,1.46875,0
6.97822,0,1.47041,0
6.9877,0,1.47207,0
6.99717,0,1.47373,1
7.00664,0,1.47539,0
7.01611,0,1.47705,0
7.02559,0,1.47871,0
7.03506,0,1.48037,0
7.04453,0,1.48203,0
7.054,0,1.48369,0
7.06348,0,1.48535,0
7.07295,0,1.48701,0
7.08242,0,1.48867,0
7.09189,0,1.49033,0
7.10137,0,1.49199,0
7.11084,0,1.49365,0
7.12031,0,1.49531,0
7.12979,0,1.49697,0
7.13926,0,1.49863,0
7.14873,0,1.50029,0
7.1582,0,1.50195,0
7.16768,0,1.50361,0
7.17715,0,1.50527,0
7.18662,0,1.50693,0
7.19609,0,1.50859,0
7.20557,0,1.51025,0
7.21504,0,1.51191,0
7.22451,0,1.51357,0
7.23398,0,1.51523,0
7.24346,0,1.51689,0
7.25293,0,1.51855,0
7.2624,0,1.52021,0
7.27187,0,1.52188,0
7.28135,0,1.52354,0
7.29082,0,1.5252,0
7.30029,0,1.52686,0
7.30977,0,1.52852,0
7.31924,0,1.53018,0
7.32871,0,1.53184,0
7.33818,0,1.5335,0
7.34766,0,1.53516,0
7.35713,0,1.53682,0
7.3666,0,1.53848,0
7.37607,0,1.54014,0
7.38555,0,1.5418,0
7.39502,0,1.54346,0
7.40449,0,1.54512,0
7.41396,0,1.54678,0
7.42344,0,1.54844,0
7.43291,0,1.5501,0
7.44238,0,1.55176,0
7.45186,0,1.55342,0
7.46133,0,1.55508,0
7.4708,0,1.55674,0
7.48027,0,1.5584,0
7.48975,0,1.56006,0
7.49922,0,1.56172,0
7.50869,0,1.56338,0
7.51816,0,1.56504,0
7.52764,0,1.5667,0
7.53711,0,1.56836,0
7.54658,0,1.57002,0
7.55605,0,1.57168,0
7.56553,0,1.57334,0
7.575,0,1.575,0
7.58447,0,1.57666,0
7.59395,0,1.57832,0
7.60342,0,1.57998,0
7.61289,0,1.58164,0
7.62236,0,1.5833,0
7.63184,0,1.58496,0
7.64131,0,1.58662,0
7.65078,0,1.58828,0
7.66025,0,1.58994,0
7.66973,0,1.5916,0
7.6792,0,1.59326,0
7.68867,0,1.59492,0
7.69814,0,1.59658,0
7.70762,0,1.59824,0
7.71709,0,1.5999,0
7.72656,0,1.60156,0
7.73604,0,1.60322,0
7.74551,0,1.60488,0
7.75498,0,1.60654,0
7.76445,0,1.6082,0
7.77393,0,1.60986,0
7.7834,0,1.61152,0
7.79287,0,1.61318,0
7.80234,0,1.61484,0
7.81182,0,1.6165,0
7.82129,0,1.61816,0
7.83076,0,1.61982,0
7.84023,0,1.62148,0
7.84971,0,1.62314,0
7.85918,0,1.6248,0
7.86865,0,1.62646,0
7.87812,0,1.62813,0
7.8876,0,1.62979,0
7.89707,0,1.63145,0
7.90654,0,1.63311,0
7.91602,0,1.63477,0
7.92549,0,1.63643,0
7.93496,0,1.63809,0
7.94443,0,1.63975,0
7.95391,0,1.64141,0
7.96338,0,1.64307,0
7.97285,0,1.64473,0
7.98232,0,1.64639,0
7.9918,0,1.64805,0
8.00127,0,1.64971,0
8.01074,0,1.65137,1
8.02021,0,1.65303,0
8.02969,0,1.65469,0
8.03916,0,1.65635,0
8.04863,0,1.65801,0
8.05811,0,1.65967,0
8.06758,0,1.66133,0
8.07705,0,1.66299,0
8.08652,0,1.66465,0
