Voltage - Ch0	 - Ch0
0.3	80
0.30166	123
0.30332	104
0.30498	111
0.306641	102
0.308301	104
0.309961	114
0.311621	110
0.313281	94
0.314941	113
0.316602	122
0.318262	112
0.319922	121
0.321582	107
0.323242	114
0.324902	102
0.326562	99
0.328223	106
0.329883	113
0.331543	108
0.333203	85
0.334863	127
0.336523	98
0.338184	106
0.339844	105
0.341504	120
0.343164	139
0.344824	107
0.346484	120
0.348145	98
0.349805	104
0.351465	104
0.353125	109
0.354785	106
0.356445	99
0.358105	100
0.359766	105
0.361426	94
0.363086	111
0.364746	114
0.366406	114
0.368066	93
0.369727	97
0.371387	107
0.373047	112
0.374707	81
0.376367	113
0.378027	86
0.379687	101
0.381348	116
0.383008	107
0.384668	99
0.386328	93
0.387988	98
0.389648	114
0.391309	87
0.392969	115
0.394629	93
0.396289	112
0.397949	94
0.399609	102
0.40127	92
0.40293	106
0.40459	93
0.40625	96
0.40791	108
0.40957	103
0.41123	117
0.412891	105
0.414551	103
0.416211	104
0.417871	90
0.419531	104
0.421191	123
0.422852	105
0.424512	76
0.426172	106
0.427832	89
0.429492	83
0.431152	80
0.432812	87
0.434473	107
0.436133	98
0.437793	111
0.439453	87
0.441113	102
0.442773	101
0.444434	82
0.446094	92
0.447754	89
0.449414	106
0.451074	100
0.452734	93
0.454395	88
0.456055	98
0.457715	107
0.459375	88
0.461035	98
0.462695	98
0.464355	90
0.466016	108
0.467676	89
0.469336	104
0.470996	99
0.472656	114
0.474316	111
0.475977	80
0.477637	89
0.479297	102
0.480957	97
0.482617	89
0.484277	108
0.485938	112
0.487598	102
0.489258	88
0.490918	101
0.492578	91
0.494238	101
0.495898	123
0.497559	117
0.499219	109
0.500879	104
0.502539	103
0.504199	112
0.505859	133
0.50752	102
0.50918	98
0.51084	107
0.5125	124
0.51416	106
0.51582	127
0.51748	134
0.519141	106
0.520801	111
0.522461	120
0.524121	127
0.525781	100
0.527441	104
0.529102	118
0.530762	113
0.532422	115
0.534082	110
0.535742	110
0.537402	113
0.539062	119
0.540723	112
0.542383	106
0.544043	95
0.545703	108
0.547363	118
0.549023	96
0.550684	109
0.552344	98
0.554004	99
0.555664	95
0.557324	115
0.558984	116
0.560645	77
0.562305	97
0.563965	103
0.565625	101
0.567285	81
0.568945	98
0.570605	100
0.572266	110
0.573926	76
0.575586	92
0.577246	109
0.578906	83
0.580566	100
0.582227	86
0.583887	67
0.585547	97
0.587207	81
0.588867	87
0.590527	100
0.592187	95
0.593848	104
0.595508	83
0.597168	86
0.598828	72
0.600488	75
0.602148	89
0.603809	84
0.605469	74
0.607129	79
0.608789	87
0.610449	83
0.612109	78
0.61377	78
0.61543	80
0.61709	85
0.61875	68
0.62041	80
0.62207	65
0.62373	89
0.625391	79
0.627051	67
0.628711	80
0.630371	68
0.632031	94
0.633691	72
0.635352	74
0.637012	97
0.638672	66
0.640332	91
0.641992	70
0.643652	79
0.645312	83
0.646973	74
0.648633	67
0.650293	92
0.651953	83
0.653613	75
0.655273	68
0.656934	69
0.658594	66
0.660254	71
0.661914	59
0.663574	75
0.665234	74
0.666895	71
0.668555	76
0.670215	69
0.671875	64
0.673535	59
0.675195	67
0.676855	61
0.678516	59
0.680176	54
0.681836	58
0.683496	65
0.685156	60
0.686816	57
0.688477	54
0.690137	69
0.691797	54
0.693457	80
0.695117	66
0.696777	53
0.698438	66
0.700098	74
0.701758	63
0.703418	68
0.705078	57
0.706738	45
0.708398	68
0.710059	59
0.711719	61
0.713379	58
0.715039	55
0.716699	60
0.718359	62
0.72002	51
0.72168	71
0.72334	67
0.725	52
0.72666	58
0.72832	58
0.72998	62
0.731641	56
0.733301	71
0.734961	60
0.736621	57
0.738281	51
0.739941	54
0.741602	60
0.743262	59
0.744922	62
0.746582	50
0.748242	56
0.749902	54
0.751562	49
0.753223	59
0.754883	75
0.756543	50
0.758203	63
0.759863	70
0.761523	48
0.763184	57
0.764844	57
0.766504	56
0.768164	46
0.769824	51
0.771484	50
0.773145	47
0.774805	53
0.776465	61
0.778125	47
0.779785	62
0.781445	43
0.783105	55
0.784766	49
0.786426	46
0.788086	43
0.789746	50
0.791406	61
0.793066	47
0.794727	47
0.796387	58
0.798047	46
0.799707	50
0.801367	43
0.803027	47
0.804687	49
