Voltage - Ch0, - Ch0
0.05,3
0.0519043,2
0.0538086,4
0.0557129,6
0.0576172,2
0.0595215,2
0.0614258,4
0.0633301,3
0.0652344,3
0.0671387,1
0.069043,2
0.0709473,3
0.0728516,0
0.0747559,7
0.0766602,5
0.0785645,4
0.0804688,0
0.082373,3
0.0842773,0
0.0861816,5
0.0880859,1
0.0899902,5
0.0918945,1
0.0937988,3
0.0957031,2
0.0976074,3
0.0995117,2
0.101416,1
0.10332,1
0.105225,1
0.107129,3
0.109033,0
0.110937,5
0.112842,2
0.114746,2
0.11665,0
0.118555,2
0.120459,0
0.122363,2
0.124268,1
0.126172,3
0.128076,2
0.12998,4
0.131885,5
0.133789,1
0.135693,0
0.137598,1
0.139502,1
0.141406,4
0.143311,2
0.145215,1
0.147119,4
0.149023,1
0.150928,1
0.152832,0
0.154736,0
0.156641,0
0.158545,2
0.160449,2
0.162354,10
0.164258,1
0.166162,1
0.168066,2
0.169971,2
0.171875,1
0.173779,0
0.175684,1
0.177588,2
0.179492,1
0.181396,1
0.183301,5
0.185205,1
0.187109,1
0.189014,2
0.190918,2
0.192822,0
0.194727,1
0.196631,2
0.198535,0
0.200439,1
0.202344,0
0.204248,3
0.206152,1
0.208057,2
0.209961,0
0.211865,1
0.21377,2
0.215674,3
0.217578,2
0.219482,4
0.221387,1
0.223291,3
0.225195,2
0.2271,3
0.229004,1
0.230908,0
0.232812,1
0.234717,1
0.236621,3
0.238525,1
0.24043,0
0.242334,1
0.244238,0
0.246143,3
0.248047,1
0.249951,2
0.251855,0
0.25376,2
0.255664,2
0.257568,1
0.259473,0
0.261377,2
0.263281,3
0.265186,3
0.26709,0
0.268994,2
0.270898,1
0.272803,1
0.274707,1
0.276611,1
0.278516,1
0.28042,3
0.282324,0
0.284229,1
0.286133,3
0.288037,2
0.289941,1
0.291846,0
0.29375,1
0.295654,1
0.297559,1
0.299463,2
0.301367,0
0.303271,0
0.305176,1
0.30708,1
0.308984,0
0.310889,1
0.312793,1
0.314697,3
0.316602,2
0.318506,1
0.32041,2
0.322314,0
0.324219,2
0.326123,2
0.328027,2
0.329932,0
0.331836,3
0.33374,4
0.335645,2
0.337549,0
0.339453,1
0.341357,1
0.343262,1
0.345166,3
0.34707,1
0.348975,1
0.350879,1
0.352783,3
0.354687,0
0.356592,0
0.358496,3
0.3604,2
0.362305,1
0.364209,1
0.366113,0
0.368018,2
0.369922,0
0.371826,0
0.37373,4
0.375635,2
0.377539,2
0.379443,1
0.381348,0
0.383252,2
0.385156,1
0.387061,0
0.388965,2
0.390869,3
0.392773,3
0.394678,1
0.396582,0
0.398486,4
0.400391,2
0.402295,1
0.404199,2
0.406104,3
0.408008,4
0.409912,3
0.411816,1
0.413721,0
0.415625,1
0.417529,1
0.419434,1
0.421338,2
0.423242,2
0.425146,2
