Voltage - Ch0, - Ch0
0.1,3
0.101855,4
0.103711,2
0.105566,3
0.107422,1
0.109277,1
0.111133,7
0.112988,6
0.114844,4
0.116699,2
0.118555,1
0.12041,2
0.122266,1
0.124121,2
0.125977,2
0.127832,0
0.129688,2
0.131543,2
0.133398,1
0.135254,1
0.137109,2
0.138965,1
0.14082,2
0.142676,1
0.144531,4
0.146387,4
0.148242,0
0.150098,1
0.151953,1
0.153809,3
0.155664,5
0.15752,0
0.159375,2
0.16123,3
0.163086,2
0.164941,1
0.166797,2
0.168652,2
0.170508,3
0.172363,5
0.174219,4
0.176074,3
0.17793,1
0.179785,3
0.181641,4
0.183496,1
0.185352,2
0.187207,2
0.189062,1
0.190918,5
0.192773,4
0.194629,3
0.196484,8
0.19834,2
0.200195,6
0.202051,4
0.203906,3
0.205762,2
0.207617,1
0.209473,2
0.211328,0
0.213184,3
0.215039,0
0.216895,0
0.21875,2
0.220605,0
0.222461,2
0.224316,0
0.226172,2
0.228027,2
0.229883,1
0.231738,2
0.233594,0
0.235449,1
0.237305,5
0.23916,1
0.241016,0
0.242871,0
0.244727,1
0.246582,1
0.248438,0
0.250293,0
0.252148,1
0.254004,0
0.255859,1
0.257715,2
0.25957,0
0.261426,0
0.263281,0
0.265137,0
0.266992,0
0.268848,1
0.270703,4
0.272559,0
0.274414,1
0.27627,1
0.278125,0
0.27998,0
0.281836,0
0.283691,1
0.285547,0
0.287402,0
0.289258,0
0.291113,0
0.292969,0
0.294824,0
0.29668,1
0.298535,0
0.300391,0
0.302246,0
0.304102,0
0.305957,0
0.307812,1
0.309668,0
0.311523,0
0.313379,0
0.315234,0
0.31709,0
0.318945,0
0.320801,0
0.322656,1
0.324512,0
0.326367,0
0.328223,0
0.330078,1
0.331934,0
0.333789,1
0.335645,0
0.3375,1
0.339355,1
0.341211,0
0.343066,0
0.344922,0
0.346777,0
0.348633,0
0.350488,0
0.352344,0
0.354199,0
0.356055,0
0.35791,0
0.359766,0
0.361621,0
0.363477,0
0.365332,1
0.367187,1
0.369043,0
0.370898,1
0.372754,1
0.374609,2
0.376465,2
0.37832,1
0.380176,0
0.382031,2
0.383887,1
0.385742,0
0.387598,0
0.389453,0
0.391309,0
0.393164,0
0.39502,0
0.396875,0
0.39873,1
0.400586,1
0.402441,1
0.404297,0
0.406152,0
0.408008,0
0.409863,0
0.411719,1
0.413574,0
0.41543,1
0.417285,0
0.419141,1
0.420996,0
0.422852,1
0.424707,1
0.426562,0
0.428418,0
0.430273,0
0.432129,0
0.433984,0
0.43584,0
0.437695,0
0.439551,0
0.441406,0
0.443262,0
0.445117,0
0.446973,1
0.448828,1
0.450684,0
0.452539,0
0.454395,0
0.45625,0
0.458105,0
0.459961,0
0.461816,0
0.463672,0
0.465527,0
0.467383,0
0.469238,0
0.471094,0
0.472949,0
0.474805,0
0.47666,0
0.478516,0
0.480371,0
0.482227,0
0.484082,0
0.485938,1
0.487793,0
0.489648,0
0.491504,1
0.493359,0
0.495215,0
0.49707,0
0.498926,0
0.500781,2
0.502637,0
0.504492,0
0.506348,0
0.508203,1
0.510059,1
0.511914,0
0.51377,0
0.515625,0
0.51748,2
0.519336,0
0.521191,0
0.523047,0
0.524902,0
0.526758,0
0.528613,1
0.530469,0
0.532324,1
0.53418,1
0.536035,0
0.537891,0
0.539746,0
0.541602,1
0.543457,0
0.545312,0
0.547168,0
0.549023,1
0.550879,0
0.552734,0
0.55459,0
0.556445,0
0.558301,0
0.560156,1
0.562012,0
0.563867,0
0.565723,0
0.567578,0
0.569434,0
0.571289,0
0.573145,0
0.575,0
0.576855,1
0.578711,0
0.580566,2
0.582422,0
0.584277,0
0.586133,0
0.587988,0
0.589844,0
0.591699,0
0.593555,1
0.59541,0
0.597266,0
0.599121,0
0.600977,0
0.602832,0
0.604687,0
0.606543,0
0.608398,0
0.610254,1
0.612109,0
0.613965,0
0.61582,0
0.617676,0
0.619531,0
0.621387,0
0.623242,0
0.625098,0
0.626953,0
0.628809,0
0.630664,0
0.63252,0
0.634375,0
0.63623,0
0.638086,0
0.639941,0
0.641797,0
0.643652,0
0.645508,0
0.647363,0
0.649219,0
0.651074,0
0.65293,0
0.654785,0
0.656641,0
0.658496,1
0.660352,0
0.662207,0
0.664062,0
0.665918,0
0.667773,0
0.669629,0
0.671484,1
0.67334,0
0.675195,0
0.677051,0
0.678906,0
0.680762,0
0.682617,0
0.684473,0
0.686328,0
0.688184,0
0.690039,1
0.691895,0
0.69375,0
0.695605,0
0.697461,0
0.699316,0
0.701172,0
0.703027,0
