Thu, Oct 24, 2024
3:43:35 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0400000	-4115.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0032123	0.0042828	0.0136629	0.0127981	-0.0046715	-0.0058984	-0.0142883	-0.0120800
97.3350000	-35.6800003	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0021500	0.0025902	0.0003364	-0.0001020	-0.0034420	-0.0040086	-0.0009289	0.0006220
98.5650000	4112.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0035631	0.0039199	-0.0127071	-0.0137322	-0.0048695	-0.0053695	0.0121067	0.0142946
100.1550000	-4125.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0034818	0.0046189	0.0138199	0.0128244	-0.0049191	-0.0062111	-0.0144409	-0.0121320
101.4300000	-31.2399998	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0023710	0.0028533	0.0003590	-0.0001598	-0.0036425	-0.0042541	-0.0009508	0.0006735
102.7700000	4111.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0038493	0.0042575	-0.0126931	-0.0138274	-0.0051368	-0.0056846	0.0120994	0.0143840
104.3000000	-4124.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0037754	0.0049705	0.0139205	0.0128087	-0.0051923	-0.0065308	-0.0145398	-0.0121336
105.5950000	-30.9699993	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0026071	0.0031359	0.0004087	-0.0002117	-0.0038718	-0.0045303	-0.0010006	0.0007177
106.8700000	4109.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0041387	0.0046062	-0.0126826	-0.0139453	-0.0054201	-0.0060232	0.0120894	0.0144910
108.4100000	-4122.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0040725	0.0053310	0.0140280	0.0127868	-0.0054699	-0.0068777	-0.0146426	-0.0121345
109.7700000	-30.8299999	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0028592	0.0034298	0.0004486	-0.0002605	-0.0041149	-0.0048122	-0.0010486	0.0007551
111.0200000	4107.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0044512	0.0049673	-0.0126745	-0.0140463	-0.0057150	-0.0063660	0.0120810	0.0145786
112.5700000	-4119.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0043922	0.0057130	0.0141343	0.0127649	-0.0057625	-0.0072312	-0.0147505	-0.0121299
113.8350000	-31.2199993	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0031191	0.0037375	0.0004985	-0.0003100	-0.0043652	-0.0051142	-0.0010967	0.0007968
