Mon, Oct 28, 2024
12:40:34 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0650000	-4135.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0072375	0.0090298	0.0271864	0.0245980	-0.0073455	-0.0098049	-0.0284429	-0.0254997
97.3950000	-31.3500004	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0050447	0.0056572	0.0005447	-0.0010915	-0.0052026	-0.0063545	-0.0016604	0.0001767
98.6800000	4120.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0077738	0.0082243	-0.0254396	-0.0282708	-0.0078911	-0.0088858	0.0243277	0.0272926
100.2950000	-4133.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0077635	0.0097142	0.0274468	0.0245962	-0.0078936	-0.0104819	-0.0286773	-0.0254850
101.5700000	-31.0499992	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0054736	0.0061893	0.0006487	-0.0011790	-0.0056436	-0.0068861	-0.0017527	0.0002824
102.9500000	4118.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0083426	0.0089145	-0.0254333	-0.0285121	-0.0084847	-0.0095832	0.0243260	0.0275543
104.5050000	-4132.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0083365	0.0104129	0.0276673	0.0245960	-0.0084769	-0.0111811	-0.0288745	-0.0254675
105.7800000	-31.2500000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0059432	0.0067452	0.0007454	-0.0012445	-0.0061205	-0.0074405	-0.0018327	0.0003685
107.0300000	4117.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0089238	0.0095915	-0.0254077	-0.0286852	-0.0090738	-0.0102606	0.0243255	0.0277574
108.6950000	-4131.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0089507	0.0111494	0.0278840	0.0245918	-0.0091012	-0.0119134	-0.0290759	-0.0254510
110.0250000	-31.1499996	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0064422	0.0073445	0.0008361	-0.0013340	-0.0066389	-0.0080424	-0.0019223	0.0004625
111.3250000	4116.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0095623	0.0103392	-0.0253939	-0.0288920	-0.0097232	-0.0110163	0.0243145	0.0279767
112.8500000	-4128.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0095651	0.0119069	0.0281120	0.0245806	-0.0097350	-0.0126680	-0.0292856	-0.0254226
114.1250000	-31.2600002	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0069654	0.0079737	0.0009444	-0.0014299	-0.0071616	-0.0086736	-0.0020308	0.0005722
115.4000000	4114.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0102004	0.0111025	-0.0253669	-0.0291109	-0.0103743	-0.0117835	0.0242984	0.0282182
117.1050000	-4128.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0102457	0.0127146	0.0283345	0.0245654	-0.0104222	-0.0134736	-0.0294912	-0.0253987
118.3500000	-31.3999996	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0075269	0.0086319	0.0010533	-0.0015122	-0.0077339	-0.0093387	-0.0021180	0.0006702
119.7100000	4113.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0108999	0.0119171	-0.0253397	-0.0293223	-0.0110863	-0.0126086	0.0242834	0.0284500
121.3950000	-4126.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0109546	0.0135637	0.0285701	0.0245429	-0.0111460	-0.0143251	-0.0297157	-0.0253711
122.6850000	-31.2700005	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0081444	0.0093677	0.0011675	-0.0016263	-0.0083516	-0.0100683	-0.0022297	0.0007859
123.9350000	4112.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0116230	0.0127748	-0.0253054	-0.0295614	-0.0118165	-0.0134696	0.0242491	0.0286935
125.5200000	-4126.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0116608	0.0144180	0.0288106	0.0245108	-0.0118621	-0.0151819	-0.0299484	-0.0253312
126.9450000	-31.0699997	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0087797	0.0101207	0.0012851	-0.0017293	-0.0089979	-0.0108256	-0.0023436	0.0009016
128.2600000	4111.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0123909	0.0136777	-0.0252677	-0.0298119	-0.0125921	-0.0143801	0.0242198	0.0289584
129.9100000	-4125.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0124519	0.0153682	0.0290784	0.0244839	-0.0126612	-0.0161315	-0.0302072	-0.0252874
131.1900000	-31.2399998	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0094587	0.0109217	0.0014178	-0.0018486	-0.0096711	-0.0116303	-0.0024746	0.0010330
