Tue, Oct 29, 2024
1:05:52 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0700000	91.9300003	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0065815	0.0078036	-0.0000473	-0.0021308	-0.0078719	-0.0090835	-0.0004777	0.0024056
97.3950000	91.9300003	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0067853	0.0080415	-0.0000166	-0.0021750	-0.0080701	-0.0093187	-0.0005151	0.0024448
98.7450000	91.9300003	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0069912	0.0082846	0.0000184	-0.0022191	-0.0082724	-0.0095611	-0.0005480	0.0024839
100.3050000	91.9300003	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0072352	0.0085732	0.0000541	-0.0022717	-0.0085161	-0.0098468	-0.0005903	0.0025317
101.5550000	91.9199982	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0074410	0.0088142	0.0000875	-0.0023096	-0.0087125	-0.0100818	-0.0006249	0.0025749
102.8150000	91.9199982	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0076466	0.0090587	0.0001198	-0.0023531	-0.0089196	-0.0103312	-0.0006605	0.0026098
104.4700000	91.9199982	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0079214	0.0093828	0.0001635	-0.0024099	-0.0091937	-0.0106527	-0.0007033	0.0026622
105.8200000	91.9199982	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0081564	0.0096623	0.0001979	-0.0024613	-0.0094313	-0.0109384	-0.0007474	0.0027098
107.0500000	91.9199982	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0083750	0.0099226	0.0002367	-0.0025073	-0.0096539	-0.0111988	-0.0007851	0.0027520
108.6300000	91.9199982	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0086546	0.0102533	0.0002819	-0.0025608	-0.0099315	-0.0115294	-0.0008339	0.0028074
109.9050000	91.9199982	0.0000450	0.0000450	0.0000450	0.0000450	-0.0000450	-0.0000450	-0.0000450	-0.0000450	0.0088875	0.0105253	0.0003180	-0.0026095	-0.0101592	-0.0117992	-0.0008716	0.0028447
