Fri, Oct 25, 2024
3:24:14 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0550000	-4121.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0171814	0.0224183	0.0693728	0.0630434	-0.0186208	-0.0238694	-0.0698558	-0.0624757
97.3250000	-30.9599991	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0118892	0.0140943	0.0025312	-0.0013552	-0.0131772	-0.0153614	-0.0029476	0.0017950
98.6150000	4109.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0185430	0.0203525	-0.0625712	-0.0692360	-0.0199289	-0.0217406	0.0621856	0.0698483
100.3050000	-4120.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0185688	0.0241193	0.0699528	0.0630608	-0.0199953	-0.0255436	-0.0704201	-0.0625096
101.5700000	-30.9500008	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0130116	0.0154329	0.0027528	-0.0015651	-0.0142911	-0.0166867	-0.0031615	0.0019906
102.9600000	4107.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0200492	0.0221234	-0.0625858	-0.0698302	-0.0214194	-0.0234868	0.0621992	0.0704215
104.5050000	-4119.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0200549	0.0258758	0.0704643	0.0630559	-0.0214612	-0.0272950	-0.0709523	-0.0625154
105.7900000	-30.7299995	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0142084	0.0168352	0.0029593	-0.0017630	-0.0154770	-0.0180835	-0.0033683	0.0022004
107.0400000	4107.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0215238	0.0238471	-0.0625746	-0.0703549	-0.0228824	-0.0251971	0.0621916	0.0709364
108.6950000	-4118.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0216080	0.0277336	0.0710138	0.0630364	-0.0230010	-0.0291418	-0.0715085	-0.0625113
110.0750000	-30.7500000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0154970	0.0183363	0.0031848	-0.0019837	-0.0167580	-0.0196002	-0.0036103	0.0024193
111.4050000	4105.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0231906	0.0257878	-0.0625637	-0.0709442	-0.0245322	-0.0271408	0.0621594	0.0715117
112.9600000	-4116.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0232422	0.0296790	0.0715810	0.0630007	-0.0246197	-0.0310822	-0.0720860	-0.0625029
114.4100000	-30.7700005	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0168789	0.0199682	0.0034362	-0.0022367	-0.0181425	-0.0212355	-0.0038736	0.0026555
115.7250000	4104.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0248992	0.0277786	-0.0625342	-0.0715449	-0.0262312	-0.0291354	0.0621265	0.0720960
117.2950000	-4116.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0249958	0.0317712	0.0721761	0.0629507	-0.0263621	-0.0331666	-0.0726933	-0.0624666
118.6500000	-30.7900009	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0183285	0.0216745	0.0036995	-0.0024961	-0.0195758	-0.0229366	-0.0041397	0.0029096
120.0000000	4103.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0266886	0.0298756	-0.0624851	-0.0721487	-0.0279976	-0.0312182	0.0620773	0.0727039
121.5350000	-4115.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0267928	0.0339106	0.0727848	0.0628938	-0.0281399	-0.0353042	-0.0733006	-0.0624190
122.8350000	-30.7600002	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0198425	0.0234605	0.0039812	-0.0027685	-0.0210891	-0.0247280	-0.0044263	0.0031820
124.1100000	4102.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0284627	0.0319538	-0.0624318	-0.0727542	-0.0297660	-0.0333000	0.0620146	0.0732880
125.6750000	-4114.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0285957	0.0360617	0.0733866	0.0628235	-0.0299260	-0.0374447	-0.0739044	-0.0623706
127.0350000	-30.7700005	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0214350	0.0253417	0.0042718	-0.0030626	-0.0226739	-0.0266114	-0.0047218	0.0034618
128.3050000	4101.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0303627	0.0341855	-0.0623636	-0.0734016	-0.0316564	-0.0355318	0.0619386	0.0739126
85.1250000	-4113.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0305064	0.0383438	0.0740136	0.0627346	-0.0318394	-0.0397359	-0.0745476	-0.0622984
131.1500000	-30.6800003	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0230803	0.0272865	0.0045742	-0.0033664	-0.0243108	-0.0285523	-0.0050299	0.0037549
132.4300000	4100.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0322859	0.0364500	-0.0622895	-0.0740456	-0.0335619	-0.0377912	0.0618672	0.0745525
133.9750000	-4112.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0324649	0.0406748	0.0746606	0.0626518	-0.0337749	-0.0420550	-0.0751978	-0.0622243
135.2700000	-30.9599991	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0247992	0.0293251	0.0048983	-0.0036713	-0.0260310	-0.0305983	-0.0053632	0.0040590
136.5400000	4100.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0342868	0.0388032	-0.0622154	-0.0747225	-0.0355604	-0.0401570	0.0617828	0.0752177
138.1000000	-4111.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0344830	0.0430778	0.0753266	0.0625645	-0.0357913	-0.0444730	-0.0758814	-0.0621522
139.4050000	-30.6599998	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0266115	0.0314659	0.0052236	-0.0040158	-0.0278372	-0.0327509	-0.0057046	0.0043863
140.7150000	4099.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0363865	0.0412799	-0.0621392	-0.0754353	-0.0376491	-0.0426300	0.0617025	0.0759255
142.2650000	-4111.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0366038	0.0456106	0.0760441	0.0624830	-0.0379029	-0.0470050	-0.0766047	-0.0620754
143.6100000	-30.7000008	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0285550	0.0337717	0.0055890	-0.0043769	-0.0297919	-0.0350784	-0.0060752	0.0047525
144.9300000	4098.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0385854	0.0438766	-0.0620686	-0.0761905	-0.0398482	-0.0452421	0.0616219	0.0766810
146.4850000	-4110.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0388172	0.0482641	0.0767975	0.0623964	-0.0401379	-0.0496858	-0.0773873	-0.0620062
147.7800000	-30.7399998	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0305657	0.0361591	0.0059704	-0.0047431	-0.0318053	-0.0374628	-0.0064561	0.0051224
149.0700000	4097.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0408148	0.0465151	-0.0620014	-0.0769702	-0.0420897	-0.0478895	0.0615567	0.0774618
150.6350000	-4110.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0410864	0.0509750	0.0775849	0.0623309	-0.0423989	-0.0523909	-0.0781703	-0.0619473
152.0550000	-30.6499996	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0327354	0.0387293	0.0063743	-0.0051448	-0.0339708	-0.0400415	-0.0068630	0.0055217
