"Latest: Time (s)","Latest: Illumination (lux)"
0,8426.30767822
0.05,8426.30767822
0.1,8426.30767822
0.15,8426.30767822
0.2,8426.30767822
0.25,8426.30767822
0.3,8426.30767822
0.35,8426.30767822
0.4,8426.30767822
0.45,8426.30767822
0.5,8426.30767822
0.55,8426.30767822
0.6,8426.30767822
0.65,8426.30767822
0.7,8426.30767822
0.75,8426.30767822
0.8,8426.30767822
0.85,8426.30767822
0.9,8426.30767822
0.95,8426.30767822
1,8426.30767822
1.05,8426.30767822
1.1,8426.30767822
1.15,8426.30767822
1.2,8426.30767822
1.25,8426.30767822
1.3,8426.30767822
1.35,8426.30767822
1.4,8426.30767822
1.45,8426.30767822
1.5,8426.30767822
1.55,8426.30767822
1.6,8426.30767822
1.65,8426.30767822
1.7,8426.30767822
1.75,8426.30767822
1.8,8426.30767822
1.85,8426.30767822
1.9,8426.30767822
1.95,8426.30767822
2,8426.30767822
2.05,8426.30767822
2.1,8426.30767822
2.15,8426.30767822
2.2,8426.30767822
2.25,8426.30767822
2.3,8426.30767822
2.35,8426.30767822
2.4,8426.30767822
2.45,8426.30767822
2.5,8426.30767822
2.55,8426.30767822
2.6,8426.30767822
2.65,8426.30767822
2.7,8426.30767822
2.75,8426.30767822
2.8,8426.30767822
2.85,8426.30767822
2.9,8426.30767822
2.95,8426.30767822
3,8426.30767822
3.05,8426.30767822
3.1,8426.30767822
3.15,8426.30767822
3.2,8426.30767822
3.25,8426.30767822
3.3,8426.30767822
3.35,8426.30767822
3.4,8426.30767822
3.45,8426.30767822
3.5,8426.30767822
3.55,8426.30767822
3.6,8426.30767822
3.65,8426.30767822
3.7,8426.30767822
3.75,8426.30767822
3.8,8426.30767822
3.85,8426.30767822
3.9,8426.30767822
3.95,8426.30767822
4,8426.30767822
4.05,8426.30767822
4.1,8426.30767822
4.15,8067.18109131
4.2,7428.83422852
4.25,6811.1416626
4.3,6240.69580078
4.35,5725.62927246
4.4,5278.20556641
4.45,4906.68640137
4.5,4598.93737793
4.55,4317.78076172
4.6,4059.21478271
4.65,3814.97772217
4.7,3595.39672852
4.75,3394.2755127
4.8,3213.67950439
4.85,3045.34698486
4.9,2901.79962158
4.95,2770.38665771
5,2641.16821289
5.05,2520.08239746
5.1,2396.93115234
5.15,2269.64904785
5.2,2148.56323242
5.25,2031.60827637
5.3,1935.17852783
5.35,1838.7487793
5.4,1746.32080078
5.45,1666.28540039
5.5,1588.31542969
5.55,1516.54174805
5.6,1450.83526611
5.65,1387.19421387
5.7,1331.81488037
5.75,1284.56817627
5.8,1243.51776123
5.85,1206.59820557
5.9,1171.74407959
5.95,1132.75909424
6,1093.77410889
6.05,1052.72369385
6.1,1015.80413818
6.15,987.017211914
6.2,958.359375
6.25,925.441589355
6.3,900.914611816
6.35,878.323974609
6.4,855.733337402
6.45,833.142700195
6.5,814.682922363
6.55,790.026855469
6.6,775.697937012
6.65,753.107299805
6.7,738.778381348
6.75,718.253173828
6.8,695.662536621
6.85,677.202758789
6.9,662.873840332
6.95,648.41583252
7,636.15234375
7.05,621.823425293
7.1,607.36541748
7.15,595.101928711
7.2,580.773010254
7.25,568.380432129
7.3,556.116943359
7.35,537.657165527
7.4,525.264587402
7.45,510.935668945
7.5,496.606750488
7.55,488.345031738
7.6,476.081542969
7.65,469.885253906
7.7,463.688964844
7.75,455.556335449
7.8,451.425476074
7.85,443.163757324
7.9,437.096557617
7.95,426.76940918
8,422.76763916
8.05,416.571350098
8.1,408.309631348
8.15,400.177001953
8.2,398.111572266
8.25,389.849853516
8.3,383.653564453
8.35,379.651794434
8.4,375.520935059
8.45,367.259216309
8.5,363.128356934
8.55,357.061157227
8.6,352.930297852
8.65,346.734008789
8.7,342.73223877
8.75,334.47052002
8.8,332.405090332
8.85,326.20880127
8.9,318.076171875
8.95,309.814453125
9,303.618164062
9.05,299.616394043
9.1,297.550964355
9.15,293.42010498
9.2,291.354675293
9.25,287.223815918
9.3,277.025756836
9.35,270.829467773
9.4,268.764038086
9.45,268.764038086
9.5,266.698608398
9.55,264.633178711
9.6,264.633178711
9.65,264.633178711
9.7,264.633178711
9.75,262.696838379
9.8,260.631408691
9.85,258.565979004
9.9,258.565979004
9.95,258.565979004
10,256.500549316
10.05,254.435119629
10.1,254.435119629
10.15,254.435119629
10.2,254.435119629
10.25,254.435119629
10.3,254.435119629
10.35,250.304260254
10.4,248.238830566
10.45,244.107971191
10.5,244.107971191
10.55,242.171630859
10.6,240.106201172
10.65,242.171630859
10.7,238.040771484
10.75,235.975341797
10.8,233.909912109
10.85,231.844482422
10.9,229.779052734
10.95,225.648193359
11,223.582763672
11.05,219.580993652
11.1,219.580993652
11.15,215.450134277
11.2,211.319274902
11.25,207.188415527
11.3,203.057556152
11.35,201.12121582
11.4,201.12121582
11.45,196.990356445
11.5,194.924926758
11.55,192.85949707
11.6,188.728637695
11.65,186.663208008
11.7,182.661437988
11.75,182.661437988
11.8,178.530578613
11.85,178.530578613
11.9,176.465148926
11.95,176.465148926
12,174.399719238
12.05,172.334289551
12.1,168.203430176
12.15,164.072570801
12.2,160.070800781
12.25,155.939941406
12.3,155.939941406
12.35,155.939941406
12.4,155.939941406
12.45,155.939941406
12.5,155.939941406
12.55,158.005371094
12.6,160.070800781
12.65,158.005371094
12.7,160.070800781
12.75,160.070800781
12.8,158.005371094
12.85,160.070800781
12.9,158.005371094
12.95,158.005371094
13,158.005371094
13.05,155.939941406
13.1,155.939941406
13.15,153.874511719
13.2,155.939941406
13.25,153.874511719
13.3,153.874511719
13.35,153.874511719
13.4,151.809082031
13.45,151.809082031
13.5,151.809082031
13.55,151.809082031
13.6,151.809082031
13.65,149.743652344
13.7,149.743652344
13.75,147.678222656
13.8,147.678222656
13.85,147.678222656
13.9,145.612792969
13.95,145.612792969
14,145.612792969
14.05,143.547363281
14.1,143.547363281
14.15,141.611022949
14.2,141.611022949
14.25,139.545593262
14.3,139.545593262
14.35,137.480163574
14.4,137.480163574
14.45,137.480163574
14.5,135.414733887
14.55,135.414733887
14.6,133.349304199
14.65,133.349304199
14.7,133.349304199
14.75,133.349304199
14.8,131.283874512
14.85,129.218444824
14.9,129.218444824
14.95,129.218444824
15,129.218444824
15.05,129.218444824
15.1,127.153015137
15.15,127.153015137
15.2,127.153015137
15.25,127.153015137
15.3,127.153015137
15.35,127.153015137
15.4,125.087585449
15.45,125.087585449
15.5,125.087585449
15.55,125.087585449
15.6,123.022155762
15.65,123.022155762
15.7,123.022155762
15.75,123.022155762
15.8,123.022155762
15.85,123.022155762
15.9,123.022155762
15.95,123.022155762
16,123.022155762
16.05,123.022155762
16.1,123.022155762
16.15,121.08581543
16.2,121.08581543
16.25,123.022155762
16.3,121.08581543
16.35,121.08581543
16.4,121.08581543
16.45,121.08581543
16.5,121.08581543
16.55,121.08581543
16.6,121.08581543
16.65,121.08581543
16.7,121.08581543
16.75,121.08581543
16.8,121.08581543
16.85,121.08581543
16.9,121.08581543
16.95,121.08581543
17,121.08581543
17.05,121.08581543
17.1,119.020385742
17.15,121.08581543
17.2,119.020385742
17.25,121.08581543
17.3,119.020385742
17.35,119.020385742
17.4,119.020385742
17.45,119.020385742
17.5,119.020385742
17.55,119.020385742
17.6,119.020385742
17.65,119.020385742
17.7,119.020385742
17.75,116.954956055
17.8,119.020385742
17.85,119.020385742
17.9,116.954956055
17.95,119.020385742
18,116.954956055
18.05,116.954956055
18.1,116.954956055
18.15,116.954956055
18.2,116.954956055
18.25,116.954956055
18.3,116.954956055
