"Latest: Time (s)","Latest: Temperature (°C)"
0,19.6223179173
0.5,19.6237932312
1,19.6252685323
1.5,19.6267438208
2,19.6311696099
2.5,19.6326448476
3,19.6341200725
3.5,19.6459214159
4,19.6370704844
4.5,19.642971156
5,19.642971156
5.5,19.6459214159
6,19.6444462923
6.5,19.6414960071
7,19.657721949
7.5,19.696068107
8,19.7594681681
8.5,19.8582086972
9,20.0157857844
9.5,20.1629315351
10,20.2820350829
10.5,20.4245683198
11,20.5581914856
11.5,20.6535825066
12,20.7474628921
12.5,20.8618230282
13,20.9380292756
13.5,21.0259265885
14,21.1196455143
14.5,21.1928364999
15,21.2425930991
15.5,21.2703936321
16,21.2674674155
16.5,21.2528357848
17,21.2308866223
17.5,21.239666535
18,21.2455196265
18.5,21.2264965419
19,21.201617852
19.5,21.2177161323
20,21.2864871727
20.5,21.3771757965
21,21.4663683631
21.5,21.54091433
22,21.5935216155
22.5,21.6256651254
23,21.6329699031
23.5,21.6271260977
24,21.6052106349
24.5,21.5774483328
25,21.5642967036
25.5,21.5642967036
26,21.5642967036
26.5,21.5642967036
27,21.5701419569
27.5,21.5891380943
28,21.6519613493
28.5,21.73667541
29,21.8169824404
29.5,21.8680743447
30,21.8914274317
30.5,21.9395868771
31,22.0300456558
31.5,22.1233921611
32,22.202129912
32.5,22.2604406847
33,22.3012515126
33.5,22.3085385847
34,22.3085385847
34.5,22.3070811841
35,22.2910493194
35.5,22.2691863245
36,22.2706439065
36.5,22.3070811841
37,22.3537145736
37.5,22.4017979138
38,22.4644409527
38.5,22.519789722
39,22.5809537538
39.5,22.6246354438
40,22.6755902644
40.5,22.697425717
41,22.725081974
41.5,22.7483697486
42,22.7672899266
42.5,22.7789326085
43,22.806582448
43.5,22.8429605627
44,22.885154601
44.5,22.9477092789
45,23.0378861187
45.5,23.088783101
46,23.1585740485
46.5,23.2443423523
47,23.3184669124
47.5,23.3838603715
48,23.4448855762
48.5,23.5073553001
49,23.5335029299
49.5,23.5552915183
50,23.6046753271
50.5,23.6627675534
51,23.7092364924
51.5,23.7832877192
52,23.84281162
52.5,23.8805551296
53,23.9124899571
53.5,23.934262675
54,23.9720001102
54.5,24.0184428673
55,24.0663332206
55.5,24.0851980971
56,24.1084156287
56.5,24.1562991247
