"Latest: Time (s)","Latest: Temperature (°C)"
0,6.37161730142
0.5,6.3316596961
1,6.2864540474
1.5,6.27775623915
2,6.26209658856
2.5,6.25687567676
3,6.25339478307
3.5,6.25687567676
4,6.25687567676
4.5,6.26035634178
5,6.27253686951
5.5,6.28297509522
6,6.2899327715
6.5,6.30210651073
7,6.31775436188
7.5,6.32818370347
8,6.34208631128
8.5,6.35077359686
9,6.35945946506
9.5,6.36640713984
10,6.37161730142
10.5,6.38377236485
11,6.38724473122
11.5,6.39592465834
12,6.40460317375
12.5,6.41501553032
13,6.42195597379
13.5,6.43236494904
14,6.44450619262
14.5,6.465313345
15,6.46878041763
15.5,6.47571388971
16,6.48091340501
16.5,6.49304364625
17,6.50343881243
17.5,6.51556396156
18,6.53461223723
18.5,6.55019216964
19,6.56057628439
19.5,6.56922818295
20,6.58306832964
20.5,6.58652781077
21,6.58825746806
21.5,6.60036351521
22,6.61592444091
22.5,6.62629589915
23,6.63493725954
23.5,6.64703284254
24,6.66258033087
24.5,6.67812335248
25,6.69020928514
25.5,6.69884044374
26,6.7109217574
26.5,6.7212750276
27,6.72645092201
27.5,6.73335134696
28,6.74542498122
28.5,6.76094428446
29,6.77128802639
29.5,6.78162980225
30,6.79196961387
30.5,6.80058462438
31,6.80747565227
31.5,6.81953285558
32,6.83158739436
32.5,6.83330925398
33,6.84191773758
33.5,6.84708217644
34,6.8591306356
34.5,6.86945577292
35,6.87461761063
35.5,6.89354018401
36,6.9072979494
36.5,6.91417553694
37,6.91417553694
37.5,6.91761400715
38,6.92792812436
38.5,6.9382403028
39,6.94511401223
39.5,6.94683230514
40,6.96401227857
40.5,6.96916522345
41,6.97946966471
41.5,6.99320591805
42,7.00007275947
42.5,7.01037141653
43,7.01208767222
43.5,7.02238408418
44,7.0258157942
44.5,7.03610964329
45,7.04125584769
45.5,7.04811670724
46,7.04983178891
46.5,7.05669158297
47,7.06183586949
47.5,7.07040861621
48,7.07383734263
48.5,7.07898003362
49,7.08412224642
49.5,7.0909777867
50,7.1046863202
50.5,7.11153931447
51,7.11839146111
51.5,7.1286680929
52,7.13038067969
52.5,7.1338056946
53,7.14236730679
53.5,7.1440794707
54,7.15263949809
54.5,7.15777488107
55,7.15948656988
55.5,7.16119820593
56,7.16633279767
56.5,7.17317818199
57,7.18002272335
57.5,7.18857721543
58,7.19370927927
58.5,7.20226166734
59,7.2091026319
59.5,7.21423280388
60,7.21594275621
60.5,7.21936250344
61,7.22449173079
61.5,7.22449173079
62,7.23303939429
62.5,7.23645809282
63,7.2398765818
63.5,7.2398765818
64,7.24158574773
64.5,7.24500392251
65,7.25013079211
65.5,7.26038311881
66,7.26380014276
66.5,7.26721695768
67,7.27063356363
67.5,7.27063356363
68,7.27575808089
68.5,7.28088212832
69,7.28600570615
69.5,7.28942116392
70,7.28942116392
70.5,7.29454395956
71,7.29795889606
71.5,7.30137362418
72,7.30478814397
72.5,7.30990953317
73,7.30990953317
73.5,7.30990953317
74,7.32015090665
74.5,7.32527089136
75,7.32868395464
75.5,7.33380315991
76,7.33550945779
76.5,7.34062803995
77,7.34062803995
77.5,7.34574615501
78,7.3474520896
78.5,7.34915797233
79,7.3508638032
79.5,7.3508638032
80,7.35256958221
80.5,7.35427530939
81,7.35768660824
81.5,7.35939217993
82,7.36280316789
82.5,7.36791926138
83,7.3713297315
83.5,7.3713297315
84,7.37303488893
84.5,7.37815005074
85,7.37985500122
85.5,7.38667428606
86,7.38326474704
86.5,7.39008361834
87,7.39349274395
87.5,7.39519722927
88,7.39860604499
88.5,7.40371888136
89,7.40542305693
89.5,7.41053527409
90,7.41735084164
90.5,7.41735084164
91,7.42246197609
91.5,7.42416558453
92,7.4292761008
92.5,7.43097950324
93,7.43268285421
93.5,7.43268285421
94,7.4343861537
94.5,7.4343861537
95,7.4377925983
95.5,7.44119883711
96,7.44801069763
96.5,7.44801069763
97,7.45311905328
97.5,7.45482173574
98,7.45652436683
98.5,7.45822694655
99,7.45652436683
99.5,7.45822694655
100,7.46163195196
100.5,7.45992947493
101,7.46163195196
101.5,7.45992947493
102,7.46503675201
102.5,7.46673907505
103,7.47014356721
103.5,7.476951936
104,7.476951936
104.5,7.48375948454
105,7.48375948454
105.5,7.48546124357
106,7.48886460795
106.5,7.48886460795
107,7.49056621332
107.5,7.49396927046
108,7.49567072224
108.5,7.50417721363
109,7.50417721363
109.5,7.50757945214
110,7.50757945214
110.5,7.51098148615
111,7.51268242649
111.5,7.51608415387
112,7.51948567691
112.5,7.51778494093
113,7.51778494093
113.5,7.52458757846
114,7.52798859091
114.5,7.52798859091
115,7.52798859091
115.5,7.53138939924
116,7.52458757846
116.5,7.53649022914
117,7.53479000351
117.5,7.53479000351
118,7.53819040378
118.5,7.53989052744
119,7.54499059258
119.5,7.54839038122
120,7.55178996612
120.5,7.55348968219
121,7.55178996612
121.5,7.56198749895
122,7.56028803738
122.5,7.56028803738
123,7.55688896158
123.5,7.55858852492
124,7.56538626948
124.5,7.56878483657
125,7.57048404384
125.5,7.57218320028
126,7.57388230589
126.5,7.57388230589
127,7.57728036466
127.5,7.57897931784
128,7.5823770718
128.5,7.5823770718
129,7.58747332191
129.5,7.58577462264
130,7.59087056818
130.5,7.59087056818
131,7.59256911519
131.5,7.59256911519
132,7.59766445186
132.5,7.59596605703
133,7.59766445186
133.5,7.60275933213
134,7.60445752417
134.5,7.60615566552
135,7.60445752417
135.5,7.61124978559
136,7.61804123662
136.5,7.61804123662
137,7.61973897281
137.5,7.62483187776
138,7.62313429337
138.5,7.62992432742
139,7.63331904103
139.5,7.64010786172
140,7.64180494058
140.5,7.64689587414
141,7.64689587414
141.5,7.65198635331
142,7.65368307876
142.5,7.65368307876
143,7.65877295242
143.5,7.66386237219
144,7.66725506664
144.5,7.67234373039
145,7.67403985088
145.5,7.67403985088
146,7.67573592102
146.5,7.67743194079
147,7.67743194079
147.5,7.68421551651
148,7.68251969807
148.5,7.69438937073
149,7.6960848371
149.5,7.69778025322
150,7.70456141521
150.5,7.71134177361
151,7.71473165161
151.5,7.71812132891
152,7.71642651534
152.5,7.7249000816
153,7.72828915713
153.5,7.72828915713
154,7.73337239456
154.5,7.74014934319
155,7.73845518115
155.5,7.75200707616
156,7.75200707616
156.5,7.7503132644
157,7.75708821143
157.5,7.76047538499
158,7.7587818232
158.5,7.76047538499
159,7.76386235867
159.5,7.76894244455
160,7.76894244455
160.5,7.77740825578
161,7.76894244455
161.5,7.76894244455
162,7.77063570663
162.5,7.76894244455
163,7.77232891878
163.5,7.77740825578
164,7.78079423095
164.5,7.77910126831
165,7.78248714372
165.5,7.78248714372
166,7.78248714372
166.5,7.78248714372
167,7.78756558281
167.5,7.78756558281
168,7.79264357327
168.5,7.7943361371
169,7.79941352969
169.5,7.80618268938
170,7.8095669706
170.5,7.81125903659
171,7.81464301934
171.5,7.81802680318
172,7.81802680318
172.5,7.82986848111
173,7.82986848111
173.5,7.83155995069
174,7.83325137062
174.5,7.83832533259
175,7.84508992056
175.5,7.84339884797
176,7.85016284082
176.5,7.84847191698
177,7.85016284082
177.5,7.85523531497
178,7.86030734323
178.5,7.85861671667
179,7.85861671667
179.5,7.86030734323
180,7.86030734323
180.5,7.86199792026
181,7.86368844778
181.5,7.86030734323
182,7.86199792026
182.5,7.86030734323
183,7.85861671667
183.5,7.86030734323
184,7.86199792026
184.5,7.85692604059
185,7.85523531497
185.5,7.85523531497
186,7.85523531497
186.5,7.85523531497
187,7.85692604059
187.5,7.85185371509
188,7.85016284082
188.5,7.84678094356
189,7.84847191698
189.5,7.84678094356
190,7.84170772579
190.5,7.84339884797
191,7.84508992056
191.5,7.84170772579
192,7.84001655399
192.5,7.84001655399
193,7.84001655399
193.5,7.84001655399
194,7.83663406156
194.5,7.83155995069
195,7.83325137062
195.5,7.83494274091
196,7.82648539296
196.5,7.82479377438
197,7.82479377438
197.5,7.81971862053
198,7.82310210612
198.5,7.82141038817
199,7.82310210612
199.5,7.82648539296
200,7.82986848111
200.5,7.82479377438
201,7.82817696187
201.5,7.82817696187
202,7.83155995069
202.5,7.82986848111
203,7.83325137062
203.5,7.83325137062
204,7.83663406156
204.5,7.84001655399
205,7.84001655399
205.5,7.84170772579
206,7.84339884797
206.5,7.84339884797
207,7.84847191698
207.5,7.85692604059
208,7.85185371509
208.5,7.85692604059
209,7.85692604059
209.5,7.85692604059
210,7.85523531497
210.5,7.84001655399
211,7.82817696187
211.5,7.81464301934
212,7.81125903659
212.5,7.80787485487
213,7.80787485487
213.5,7.80787485487
214,7.8095669706
214.5,7.81125903659
215,7.81125903659
215.5,7.8095669706
216,7.80787485487
216.5,7.80618268938
217,7.78925829614
217.5,7.78418000661
218,7.78079423095
218.5,7.77740825578
219,7.77740825578
219.5,7.77910126831
220,7.78248714372
220.5,7.78248714372
221,7.78079423095
221.5,7.78248714372
222,7.78587281964
222.5,7.79095095962
223,7.7977211153
223.5,7.80279820909
224,7.80787485487
224.5,7.81464301934
225,7.81802680318
225.5,7.82141038817
226,7.83325137062
226.5,7.84170772579
227,7.85354453981
227.5,7.86199792026
228,7.87214034292
228.5,7.87721088632
229,7.88735063829
229.5,7.89073016032
230,7.90086754143
230.5,7.9059355658
231,7.91607028316
231.5,7.92282577586
232,7.92620322673
232.5,7.94139931979
233,7.94815186046
233.5,7.95321575009
234,7.97009219141
234.5,7.98021570223
235,7.9937109737
235.5,7.99708430216
236,8.00888941144
236.5,8.01900617096
237,8.02237803354
237.5,8.02743546143
238,8.03249245034
238.5,8.04597560944
239,8.05440100107
239.5,8.06619450595
240,8.07630132873
240.5,8.07798562918
241,8.08977437331
241.5,8.09819344965
242,8.10324431383
242.5,8.10492783833
243,8.11166145205
243.5,8.11502796846
244,8.12344341278
244.5,8.12512635655
245,8.13522300422
245.5,8.14363554892
246,8.15036471589
246.5,8.15372900994
247,8.15877508938
247.5,8.16382073504
248,8.16886594713
248.5,8.17391072583
249,8.18231772781
249.5,8.18568019189
250,8.18904246365
