"Latest: Time (s)","Latest: Temperature (°C)"
0,18.7080105457
0.5,18.7020751508
1,18.7050428779
1.5,18.700591265
2,18.7050428779
2.5,18.7080105457
3,18.7139457036
3.5,18.7183969168
4,18.7302661683
4.5,18.7362004398
5,18.7436179475
5.5,18.7525184709
6,18.7569685341
6.5,18.7584518591
7,18.7673515007
7.5,18.7777337485
8,18.7806999732
8.5,18.7821830636
9,18.7910812986
9.5,18.801461908
10,18.8118418025
10.5,18.8207382868
11,18.8266689854
11.5,18.8325994515
12,18.8414947152
12.5,18.8503894571
13,18.8503894571
13.5,18.8548366326
14,18.863730593
14.5,18.8726240334
15,18.8829990576
15.5,18.8904093572
16,18.8963373379
16.5,18.9022650887
17,18.9096744542
17.5,18.9185652197
18,18.9333820171
18.5,18.9363452051
19,18.9437529252
19.5,18.9452344265
20,18.9526417189
20.5,18.9630113303
21,18.9704177691
21.5,18.9704177691
22,18.9793050272
22.5,18.9911539107
23,19.0059637419
23.5,19.013368128
24,19.0148489629
24.5,19.0266951349
25,19.0385404065
25.5,19.0444627053
26,19.0533457326
26.5,19.0592674707
27,19.0637086273
27.5,19.0725905631
28,19.0844323623
28.5,19.0933131264
29,19.108113287
29.5,19.1243918605
30,19.1317906581
30.5,19.1377094473
31,19.1480667967
31.5,19.1554644896
32,19.1613823961
32.5,19.1776555044
33,19.1939269524
33.5,19.2101967446
34,19.2235071644
34.5,19.2279437258
35,19.2397739577
35.5,19.2486460611
36,19.2516033205
36.5,19.2545605256
37,19.2604747733
37.5,19.2634318159
38,19.2708241859
38.5,19.2708241859
39,19.2752594457
39.5,19.2737810393
40,19.2782162182
40.5,19.2796945841
41,19.2782162182
41.5,19.2782162182
42,19.2767378387
42.5,19.2782162182
43,19.2767378387
43.5,19.2767378387
44,19.2752594457
44.5,19.2737810393
45,19.2723026193
45.5,19.2693457389
46,19.2678672784
46.5,19.2663888045
47,19.2649103169
47.5,19.2575176765
48,19.2560391078
48.5,19.2545605256
49,19.2530819298
49.5,19.2501246976
50,19.2516033205
50.5,19.2501246976
51,19.2501246976
51.5,19.2471674111
52,19.2486460611
52.5,19.2471674111
53,19.2471674111
53.5,19.2471674111
54,19.2427313798
54.5,19.2412526755
55,19.2427313798
55.5,19.2412526755
56,19.2397739577
56.5,19.2397739577
57,19.2412526755
57.5,19.2412526755
58,19.2427313798
58.5,19.2442100705
59,19.2456887476
59.5,19.2456887476
60,19.2501246976
60.5,19.2501246976
61,19.2501246976
61.5,19.2516033205
62,19.2545605256
62.5,19.2516033205
63,19.2545605256
63.5,19.2589962316
64,19.2604747733
64.5,19.2678672784
65,19.2663888045
65.5,19.2737810393
66,19.2723026193
66.5,19.2737810393
67,19.2752594457
67.5,19.2811729366
68,19.2811729366
68.5,19.2944775025
69,19.2974339246
69.5,19.3077809785
70,19.3136932854
70.5,19.3181273747
71,19.3210833672
71.5,19.3210833672
72,19.3225613434
72.5,19.3255172556
73,19.3299510235
73.5,19.3329068019
74,19.3358625268
74.5,19.3417738163
75,19.3432516054
75.5,19.3476848923
76,19.3506403503
76.5,19.353595755
77,19.3624616495
77.5,19.3698495291
78,19.3772370766
78.5,19.3816694459
79,19.3861016959
79.5,19.3905338267
80,19.3979204467
80.5,19.3979204467
81,19.4053067362
81.5,19.4112155301
82,19.4141698479
82.5,19.4141698479
83,19.417124113
83.5,19.4200783254
84,19.4259865921
84.5,19.4289406466
85,19.4378024944
85.5,19.442233241
86,19.4496175564
86.5,19.4540479884
87,19.4599550478
87.5,19.464385205
88,19.471768539
88.5,19.4791515467
89,19.4909636814
89.5,19.4983458427
90,19.5012986162
90.5,19.5101566253
91,19.5145854548
91.5,19.5219665782
92,19.527871244
92.5,19.5322996077
93,19.5337757031
93.5,19.5382039117
94,19.5396799555
94.5,19.5500119008
95,19.5588673517
95.5,19.5647707286
96,19.5721496607
96.5,19.5780525755
97,19.5824796271
97.5,19.5883821833
98,19.5928089662
98.5,19.601662187
99,19.6031376791
99.5,19.6060886251
100,19.6060886251
