"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.16733244552589,1.16730351913794
1.18,1.01005664289817,1.00974909816588
1.36,1.15867116828013,1.15871733617859
1.54,1.1188283735722,1.11890692673511
1.72,1.07319458299784,1.07309538463082
1.9,1.17402273108544,1.17393882922331
2.08,1.04356773637721,1.04353895381343
2.26,1.14381856371359,1.14377933248354
2.44,1.14106118634945,1.1410671702232
2.62,1.04203890115313,1.04229898600895
2.8,1.17662575933334,1.17673087337962
2.98,1.07276860969905,1.07306002490562
3.16,1.124208053173,1.12345354117758
3.34,1.15509025733311,1.15503939845921
3.52,1.01063568795636,1.0130655097687
3.7,1.16734339734722,1.16615728473857
3.88,1.11308551409882,1.11454343710234
4.06,1.09262023993261,1.09463117861832
4.24,1.17075884735613,1.17122466866258
4.42,1.02009301881579,1.01824570517733
4.6,1.15420206145679,1.15512277087529
4.78,1.12385953152151,1.12310027572711
4.96,1.06339777226608,1.06279519054301
5.14,1.17447800429584,1.17419642748358
5.32,1.06430244582036,1.06297298026908
5.5,1.15120436564963,1.15119411009114
5.68,1.14929525587752,1.14909318604048
5.86,1.04357854963354,1.04626089991343
6.04,1.17937775422333,1.17936236470566
6.22,1.05986009459893,1.05564772351107
6.4,1.10678486455818,1.10647592320694
6.58,1.1626767742097,1.1626165305294
6.76,1.01639731333426,1.00621575068561
6.94,1.16830995055549,1.16810422439952
7.12,1.1016883395086,1.10237435308699
7.3,1.091962363706,1.0925432556673
7.48,1.16632222694247,1.16607330203912
7.66,1.03096612219977,1.02392811829486
7.84,1.17634967093552,1.18563965962266
8.02,1.1299875336125,1.13128127619522
8.2,1.0361031122166,1.03605793176703
8.38,1.16482411816705,1.16777812593667
8.56,1.04066255082188,1.0426956384616
8.74,1.12447033957083,1.12377708043719
8.92,1.15394733480698,1.14802792184662
9.1,1.030089552995,1.02672710226525
9.28,1.18193545258764,1.18091969604933
9.46,1.07422953148832,1.07316461634278
9.64,1.09821645156696,1.09727121097445
9.82,1.17498873682688,1.17381448648475
10,1.02630222607866,1.00193868655962
