"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.19305740393917,1.19307569696994
1.18,1.18697368139538,1.18687073265081
1.36,1.17864730995025,1.17856337612764
1.54,1.16849967365159,1.16848322764586
1.72,1.15699316026117,1.15702509828744
1.9,1.14454625330973,1.14457255613908
2.08,1.13149508882049,1.13145755458744
2.26,1.1180850635584,1.11794847223856
2.44,1.1044763526408,1.10425656763706
2.62,1.09074931178112,1.09054967085175
2.8,1.07689190044195,1.07694680418241
2.98,1.06272793837436,1.0633876903927
3.16,1.04768001552665,1.04909267871318
3.34,1.03036705880078,1.03248127728756
3.52,1.01072953796893,1.01595043108833
3.7,1.01140792874624,1.01256992959315
3.88,1.02569421615967,1.02518464782796
4.06,1.03982422984345,1.0402851203021
4.24,1.05490902081848,1.05565918617674
4.42,1.07096836087108,1.07080158239622
4.6,1.08698176389837,1.08538465057119
4.78,1.10004242189174,1.0992054358349
4.96,1.1100353608921,1.11228041107189
5.14,1.12361991475495,1.12499877838949
5.32,1.13975892313263,1.13840246022757
5.5,1.15544106857155,1.15482403506425
5.68,1.1816986426211,1.18129101001219
5.86,1.04570828989757,1.04634708466529
6.04,1.21416717796117,1.21275707584203
6.22,1.07583365258739,1.06981783423215
6.4,1.11889415180021,1.11891754034259
6.58,1.18212601252706,1.18225743199825
6.76,1.01707999037211,1.0068901357339
6.94,1.18434164230265,1.18349222356052
7.12,1.11671491617036,1.11585144091496
7.3,1.09017706274324,1.09174439800254
7.48,1.1934158363568,1.19346850684342
7.66,1.01901112648226,1.02005911338906
7.84,1.15867316507001,1.1588262888203
8.02,1.15129393304649,1.15183601925667
8.2,1.05797922410172,1.05903208207851
8.38,1.20238166141559,1.20194765417212
8.56,1.06515598891266,1.06618756126694
8.74,1.14737440050603,1.14756223063794
8.92,1.16537845105818,1.16518179281081
9.1,1.02821573440128,1.03040676837952
9.28,1.18468147474069,1.18740914125722
9.46,1.10805025283149,1.1121870715183
9.64,1.12956460312929,1.12871796934341
9.82,1.17636379483329,1.17406496656122
10,1.02560558858353,1.01250420698686
