"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.30731485257101,1.30680265088191
1.45,1.07324091367144,1.07024395916402
1.9,1.27722213814218,1.28177346225948
2.35,1.04807862857976,1.06037285229338
2.8,1.40085198850853,1.39766458236533
3.25,1.04900115028881,1.06047256173796
3.7,1.31589386609687,1.31179228746378
4.15,1.07904157320827,1.10926097210514
4.6,1.35499334172609,1.351607965614
5.05,1.1934496123757,1.21052498447577
5.5,1.19258789516977,1.20004264053686
5.95,1.27414743078093,1.24482530218409
6.4,1.34818868169401,1.3526050576501
6.85,1.4119322490238,1.40108864036459
7.3,1.24407564546348,1.24290293965088
7.75,1.3024925329875,1.31154312063692
8.2,1.17767869261513,1.22034546474062
8.65,1.34282743960544,1.33054903187028
9.1,1.26099912235096,1.24994232371269
9.55,1.56321002298806,1.55267333497725
10,1.1964673429402,1.24289551204234
