"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.82272822399144,1.8225923029344
1.03,1.84956125928113,1.84934153493795
1.06,1.87625112450771,1.87595633624279
1.09,1.90277123390267,1.90240997977434
1.12,1.92909479386787,1.92867545649858
1.15,1.95519484592752,1.95472552429451
1.18,1.98104431089432,1.98053275803811
1.21,2.00661603403108,2.00606960074523
1.24,2.0318828310068,2.03130841561617
1.27,2.05681753446164,2.05622153882108
1.3,2.08139304100833,2.08078133286165
1.33,2.10558235850976,2.10496024034226
1.36,2.12935865348264,2.12873083798209
1.39,2.1526952984865,2.15206589069833
1.42,2.17556591936588,2.17493840559067
1.45,2.19794444222106,2.19732168565767
1.48,2.21980513998963,2.21918938307695
1.51,2.2411226785279,2.24051555188307
1.54,2.26187216208681,2.2612746998803
1.57,2.28202917808281,2.28144183963051
1.6,2.30156984106933,2.30099253836154
1.63,2.32047083581929,2.31990296664594
1.66,2.33870945943384,2.33814994570648
1.69,2.35626366239682,2.35571099321101
1.72,2.3731120884985,2.37256436742673
1.75,2.3892341135563,2.38868910961203
1.78,2.40460988286347,2.40406508453212
1.81,2.41922034730079,2.41867301899439
1.84,2.4330472980492,2.43249453830841
1.87,2.44607339984484,2.44551220058592
1.9,2.45828222272064,2.4577095288065
1.93,2.46965827218202,2.46907104058506
1.96,2.48018701776655,2.47958227558886
1.99,2.48985491994031,2.48922982056218
2.02,2.49864945528643,2.49800133192895
2.05,2.50655913994342,2.50588555595405
2.08,2.51357355125372,2.51287234645605
2.11,2.51968334758493,2.51895268007479
2.14,2.52488028628878,2.52411866910838
2.17,2.52915723976501,2.52836357194478
2.2,2.53250820959974,2.53168180112331
2.23,2.53492833875017,2.53406892907115
2.26,2.53641392174965,2.53552169156928
2.29,2.53696241290968,2.53603798901038
2.32,2.5365724324976,2.53561688551939
2.35,2.53524377087132,2.53425860601376
2.38,2.53297739055472,2.53196453128679
2.41,2.52977542624018,2.52873719120175
2.44,2.52564118270716,2.52458025608849
2.47,2.52057913064868,2.51949852643627
2.5,2.51459490040029,2.51349792097791
2.53,2.50769527356923,2.50658546325962
2.56,2.4998881725646,2.49876926678927
2.59,2.49118264803254,2.49005851885235
2.62,2.481588864204,2.48046346307984
2.65,2.47111808216608,2.46999538084582
2.68,2.45978264107162,2.45866657156449
2.71,2.44759593730583,2.44649033194665
2.74,2.43457240163242,2.4334809342648
2.77,2.42072747434608,2.41965360366361
2.8,2.40607757846241,2.40502449453918
2.83,2.39064009098085,2.38961066599629
2.86,2.37443331226077,2.37343005637775
2.89,2.35747643355564,2.35650145684501
2.92,2.33978950275493,2.33884448397398
2.95,2.32139338838863,2.32047955131547
2.98,2.30230974195405,2.30142783985622
3.01,2.28256095862985,2.28171126730438
3.04,2.26217013644766,2.26135245611336
3.07,2.24116103399658,2.24037470015063
3.1,2.21955802674149,2.21880192991382
3.13,2.1973860620414,2.19665867619566
3.16,2.17467061295925,2.17397003210301
3.19,2.15143763096004,2.15076161334272
3.22,2.12771349759949,2.1270595166997
3.25,2.10352497531034,2.1028902766499
3.28,2.07889915739885,2.07828082007254
3.31,2.0538634173687,2.05325841905283
3.34,2.02844535769434,2.02785064179666
3.37,2.00267275817055,2.00208530171329
3.4,1.97657352396902,1.97599040475866
3.43,1.95017563353705,1.94959409517145
3.46,1.92350708647722,1.92292459977302
3.49,1.89659585155012,1.89601017104271
3.52,1.8694698149455,1.86887902921725
3.55,1.84215672896982,1.84155930369869
3.58,1.81468416130045,1.81407897408656
3.61,1.78707944495858,1.78646581117604
3.64,1.7593696291546,1.75874731828474
3.67,1.73158143116044,1.73095067328386
3.7,1.70374118936441,1.70310267171645
3.73,1.6758748176645,1.67522967138397
3.76,1.64800776135644,1.64735753877439
3.79,1.62016495467352,1.61951159768884
3.82,1.59237078013618,1.5917165804024
3.85,1.56464902987176,1.56399658166603
3.88,1.53702286906871,1.53637501582504
3.91,1.50951480173737,1.50887457729355
3.94,1.48214663896245,1.48151720458782
3.97,1.45493946985417,1.4543240480849
4,1.42791363544203,1.42731544163986
4.03,1.40108870581537,1.40051087816802
4.06,1.37448346091561,1.37392898928266
4.09,1.3481158755533,1.34758752908138
4.12,1.32200310951004,1.32150336220732
4.15,1.29616150408576,1.29569245639791
4.18,1.27060658735131,1.27016987991592
4.21,1.24535309204238,1.24494980462281
4.24,1.22041499329727,1.22004551618956
4.27,1.19580558015307,1.19546943447142
4.3,1.17153758942675,1.17123315044952
4.33,1.1476234654924,1.14734749416874
4.36,1.12407590070988,1.12382266913626
4.39,1.10090908196231,1.10066855120859
4.42,1.07814201965081,1.07789547068418
4.45,1.0558095907498,1.05551679204411
4.48,1.03401505572181,1.03356132429794
4.51,1.01347749197065,1.01221534196246
4.54,1.01183533601023,1.01007185260893
4.57,1.03217222441535,1.03138541949771
4.6,1.05410504111702,1.05349329784632
4.63,1.07670706315725,1.07614264529366
4.66,1.09986713424741,1.09930726250795
4.69,1.12355430770511,1.12297978881816
4.72,1.14775559319609,1.14715653705416
4.75,1.17246343882323,1.17183449962732
4.78,1.19767203803343,1.1970104562188
4.81,1.22337595659091,1.2226806284964
4.84,1.24956953215419,1.24884051671216
4.87,1.27624657657897,1.27548480817325
4.9,1.30340021225603,1.30260731836391
4.93,1.33102277397477,1.33020094892578
4.96,1.35910574572018,1.35825765553905
4.99,1.3876397176757,1.3867684224291
5.02,1.4166143558976,1.41572324188404
5.05,1.4460183806093,1.44511109796585
5.08,1.475839550844,1.47491995399816
5.11,1.50606465411602,1.50513674362132
5.14,1.53667950032958,1.53574736531449
5.17,1.56766891943534,1.56673668033947
5.2,1.59901676252165,1.59808851408763
5.23,1.6307059061317,1.62978566081998
5.26,1.66271825965983,1.66180989178957
5.29,1.69503477571712,1.69414196672845
5.32,1.72763546337667,1.72676164867074
5.35,1.76049940422066,1.75964772207102
5.38,1.79360477111559,1.79277801416321
5.41,1.82692884964383,1.82612941949125
5.44,1.86044806211772,1.85967792752879
5.47,1.8941379941002,1.89339865329113
5.5,1.92797342335209,1.92726587082989
5.53,1.96192835112257,1.96125304948828
5.56,1.99597603569505,1.99533289278369
5.59,2.0300890280969,2.02947737977375
5.62,2.0642392098776,2.06365780875307
5.65,2.09839783285638,2.09784484311962
5.68,2.13253556073725,2.13200855924303
5.71,2.1666225124861,2.16611849616141
5.74,2.20062830736232,2.20014370692916
5.77,2.23452211149463,2.23405281143479
5.8,2.26827268588915,2.2678140505063
5.83,2.30184843575556,2.30139534112054
5.86,2.33521746103602,2.33476433253368
5.89,2.36834760802004,2.36788846315114
5.92,2.40120652192728,2.40073501795806
5.95,2.43376170033959,2.43327118633453
5.98,2.46598054736272,2.4654641200843
6.01,2.4978304283975,2.49728099151078
6.04,2.52927872539999,2.52868905137958
6.07,2.5602928925096,2.55965568661372
6.1,2.59084051192431,2.59014847757414
6.13,2.62088934990164,2.62013525478575
6.16,2.65040741276454,2.64958415497684
6.19,2.67936300279137,2.6784636763077
6.22,2.70772477386928,2.70674273267248
6.25,2.73546178679129,2.73439070696646
6.28,2.76254356407745,2.76137750321936
6.31,2.78894014420167,2.78767359750327
6.34,2.81462213510644,2.81325008753208
6.37,2.83956076688911,2.83807874087711
6.4,2.86372794354442,2.86213204173109
6.43,2.88709629364982,2.88538323616021
6.46,2.90963921988168,2.90780637579066
6.49,2.93133094725253,2.92937635988269
6.52,2.95214656996192,2.95006897575135
6.55,2.9720620967557,2.96986093749851
6.58,2.99105449469154,2.98872992302599
6.61,3.00910173121166,3.00665460930414
6.64,3.02618281442671,3.02361470587428
6.67,3.042277831519,3.03959098656678
6.7,3.05736798517666,3.05456531941989
6.73,3.07143562797493,3.06852069478639
6.76,3.08446429462539,3.0814412516175
6.79,3.09643873201827,3.09331230191479
6.82,3.10734492698899,3.10412035334181
6.85,3.11717013174454,3.11385312998775
6.88,3.12590288689174,3.12249959127582
6.91,3.13353304201495,3.13004994900859
6.94,3.14005177375702,3.13649568254225
6.97,3.14545160136372,3.14182955208115
7,3.14972639965828,3.14604561008277
7.03,3.15287140941951,3.1491392107625
7.06,3.15488324514372,3.15110701768634
7.09,3.15575990017759,3.15194700943841
7.12,3.15550074921601,3.15165848334913
7.15,3.15410654816628,3.15024205726869
7.18,3.15157943138654,3.14769966936962
7.21,3.14792290631371,3.14403457596151
7.24,3.14314184550297,3.13925134730034
7.27,3.13724247610751,3.13335586137486
7.3,3.13023236683392,3.12635529565239
7.33,3.12212041241531,3.11825811676727
7.36,3.11291681565005,3.10907406813589
7.39,3.10263306706034,3.09881415548386
7.42,3.09128192223048,3.08749063027296
7.45,3.07887737688994,3.07511697101771
7.48,3.06543463981159,3.06170786248493
