"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.19060273115122,1.19057452360955
1.45,1.27033453936365,1.26976802480426
1.9,1.33599677845871,1.33485498943303
2.35,1.38054312845401,1.3792060348646
2.8,1.39896467866454,1.39798603132875
3.25,1.3893465377771,1.38905170208581
3.7,1.35308822231949,1.35336008367698
4.15,1.29438394295603,1.29479234577567
4.6,1.21933986039041,1.21946051402157
5.05,1.13509068808044,1.13471558575031
5.5,1.04983581063262,1.04866365521139
5.95,1.041642435815,1.04069726808415
6.4,1.12651774642839,1.12617899977668
6.85,1.21173353663745,1.21136499041414
7.3,1.28843089493291,1.28807566062961
7.75,1.34924844070695,1.34903723438867
8.2,1.38799179284343,1.38792338575525
8.65,1.40042267047096,1.40031202709315
9.1,1.38500123529552,1.38465744649355
9.55,1.34348929274619,1.34300177259378
10,1.28110071834925,1.28096551427852
