"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.26159723062163,1.26162707017931
1.45,1.3617917269545,1.36184061274084
1.9,1.42927850923064,1.429354850957
2.35,1.45290348262832,1.45300724592649
2.8,1.42887515159453,1.4290086658407
3.25,1.36188242572464,1.36204523013221
3.7,1.26362734463276,1.26380698573887
4.15,1.14947565746835,1.14964505303264
4.6,1.03563404751005,1.03646530126412
5.05,1.07629983195557,1.07654839052925
5.5,1.18441589369631,1.18445305799588
5.95,1.27903314631774,1.27896943243775
6.4,1.34530126817833,1.34518054632855
6.85,1.37181690075412,1.37166290112233
7.3,1.35369600858102,1.35347651789076
7.75,1.29408987634387,1.29376225057849
8.2,1.20331074048477,1.20286595800997
8.65,1.09615593180411,1.09535009051472
9.1,1.02566418571063,1.02309850547191
9.55,1.13690381765143,1.13721272853845
10,1.26054667100884,1.26049678223789
