"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.11785473396621,1.11790987852084
1.45,1.16603701316512,1.16611214939923
1.9,1.20579031514837,1.20585397381686
2.35,1.23377970902947,1.2338172656215
2.8,1.24750398509642,1.24754443667854
3.25,1.2457130098781,1.2457897278416
3.7,1.22859164778026,1.22870156579277
4.15,1.19768671860557,1.19779086167795
4.6,1.15564122448714,1.15570777647809
5.05,1.10583351634712,1.10588662694549
5.5,1.05200565219771,1.05215430843459
5.95,1.00404163351257,1.00531137856834
6.4,1.05688659748973,1.05672425876658
6.85,1.11064537740586,1.11034175923413
7.3,1.16020087595273,1.15996666602256
7.75,1.20198598334658,1.20203265363941
8.2,1.23288126596813,1.23330542072248
8.65,1.25041731766637,1.25110629054691
9.1,1.25292684502847,1.25359116329212
9.55,1.23979941498253,1.24014950683123
10,1.2119260798886,1.21188054277438
